set,agreement_head_vs_zeroshot,head_acc,zeroshot_acc,head_consistency,zeroshot_consistency,head_shape_bias_pct,head_coverage_pct,zeroshot_shape_bias_pct,zeroshot_coverage_pct
clean,0.942,0.968,0.936,1.0,1.0,,,,
grayscale,0.938,0.928,0.908,0.938,0.922,,,,
hue_rotate,0.93,0.918,0.916,0.93,0.93,,,,
patch_shuffle,0.836,0.796,0.798,0.786,0.798,,,,
cue_conflict,0.644,,,,,88.65248226950355,56.4,87.5912408759124,54.8
translate_right_8,0.958,0.96,0.95,0.972,0.956,,,,
translate_left_8,0.956,0.952,0.942,0.964,0.956,,,,
translate_down_8,0.958,0.966,0.95,0.968,0.958,,,,
translate_up_8,0.946,0.964,0.948,0.97,0.968,,,,
translate_right_16,0.954,0.954,0.944,0.962,0.954,,,,
translate_left_16,0.952,0.95,0.932,0.958,0.95,,,,
translate_down_16,0.952,0.96,0.95,0.966,0.962,,,,
translate_up_16,0.946,0.958,0.942,0.96,0.954,,,,
translate_right_32,0.944,0.944,0.924,0.952,0.966,,,,
translate_left_32,0.936,0.95,0.926,0.956,0.96,,,,
translate_down_32,0.952,0.95,0.924,0.964,0.966,,,,
translate_up_32,0.954,0.938,0.936,0.958,0.964,,,,
