pair,direction,shape_class,texture_class,content_idx,style_idx,resnet50_head_pred,resnet50_head_conf,resnet50_head_decision,vit_b16_head_pred,vit_b16_head_conf,vit_b16_head_decision,clip_head_pred,clip_head_conf,clip_head_decision,clip_zeroshot_pred,clip_zeroshot_conf,clip_zeroshot_decision,category
airplane/horse,A_shape_B_texture,airplane,horse,459,47,bird,0.6918731,other,car,0.38594007,other,truck,0.10719688,other,car,0.47539866,other,all_other
airplane/horse,A_shape_B_texture,airplane,horse,282,329,ship,0.95383245,other,car,0.6522684,other,airplane,0.116642036,shape,airplane,0.57440454,shape,mixed_other
airplane/horse,A_shape_B_texture,airplane,horse,183,173,bird,0.9471044,other,bird,0.9346782,other,bird,0.11929636,other,bird,0.71508574,other,all_other
airplane/horse,A_shape_B_texture,airplane,horse,245,203,bird,0.9757259,other,airplane,0.51007134,shape,bird,0.10494022,other,bird,0.3805777,other,mixed_other
airplane/horse,A_shape_B_texture,airplane,horse,399,259,bird,0.6109475,other,bird,0.8440117,other,airplane,0.11894092,shape,airplane,0.4885408,shape,mixed_other
airplane/horse,A_shape_B_texture,airplane,horse,460,21,horse,0.7415238,texture,airplane,0.8463949,shape,horse,0.113049984,texture,horse,0.73478746,texture,disagree_shape_vs_texture
airplane/horse,A_shape_B_texture,airplane,horse,201,428,bird,0.9744459,other,airplane,0.95255727,shape,airplane,0.13146704,shape,airplane,0.80149937,shape,mixed_other
airplane/horse,A_shape_B_texture,airplane,horse,45,335,deer,0.8346915,other,airplane,0.22470887,shape,airplane,0.11249974,shape,airplane,0.6745138,shape,mixed_other
airplane/horse,A_shape_B_texture,airplane,horse,482,388,bird,0.7782263,other,airplane,0.74884456,shape,airplane,0.13267128,shape,airplane,0.9407245,shape,mixed_other
airplane/horse,A_shape_B_texture,airplane,horse,293,486,bird,0.34371325,other,bird,0.45217803,other,cat,0.10653283,other,bird,0.26857913,other,all_other
airplane/horse,A_shape_B_texture,airplane,horse,242,123,bird,0.93205583,other,airplane,0.90676725,shape,bird,0.10497108,other,horse,0.3412272,texture,disagree_shape_vs_texture
airplane/horse,A_shape_B_texture,airplane,horse,362,426,bird,0.53425467,other,horse,0.2823367,texture,truck,0.103375085,other,monkey,0.26462808,other,mixed_other
airplane/horse,A_shape_B_texture,airplane,horse,474,324,deer,0.45351195,other,bird,0.8509891,other,airplane,0.11434981,shape,airplane,0.52153623,shape,mixed_other
airplane/horse,A_shape_B_texture,airplane,horse,167,464,bird,0.59542507,other,bird,0.8247525,other,bird,0.1201306,other,bird,0.93318343,other,all_other
airplane/horse,A_shape_B_texture,airplane,horse,317,114,bird,0.8786126,other,airplane,0.6943885,shape,horse,0.12583771,texture,horse,0.94094336,texture,disagree_shape_vs_texture
airplane/horse,A_shape_B_texture,airplane,horse,264,275,bird,0.9973857,other,airplane,0.8997462,shape,airplane,0.111545786,shape,bird,0.24054308,other,mixed_other
airplane/horse,A_shape_B_texture,airplane,horse,126,473,bird,0.9665256,other,monkey,0.4134443,other,monkey,0.10403299,other,bird,0.18710889,other,all_other
airplane/horse,A_shape_B_texture,airplane,horse,199,261,bird,0.97034955,other,bird,0.5121349,other,deer,0.11359527,other,bird,0.4844383,other,all_other
airplane/horse,A_shape_B_texture,airplane,horse,378,112,bird,0.6967115,other,airplane,0.9561415,shape,bird,0.102864996,other,ship,0.35296723,other,mixed_other
airplane/horse,A_shape_B_texture,airplane,horse,89,219,cat,0.80188066,other,bird,0.21510136,other,bird,0.10210511,other,ship,0.21433143,other,all_other
airplane/horse,A_shape_B_texture,airplane,horse,0,159,truck,0.28576532,other,airplane,0.8886628,shape,airplane,0.11420402,shape,airplane,0.29205254,shape,mixed_other
airplane/horse,A_shape_B_texture,airplane,horse,91,353,cat,0.52223784,other,deer,0.2484618,other,airplane,0.11804904,shape,airplane,0.6475396,shape,mixed_other
airplane/horse,A_shape_B_texture,airplane,horse,297,276,ship,0.49620044,other,airplane,0.611253,shape,truck,0.10617152,other,truck,0.39653105,other,mixed_other
airplane/horse,A_shape_B_texture,airplane,horse,208,381,bird,0.7224574,other,bird,0.7270211,other,bird,0.10575987,other,bird,0.49872425,other,all_other
airplane/horse,A_shape_B_texture,airplane,horse,462,209,bird,0.85662293,other,car,0.31384647,other,airplane,0.10681724,shape,bird,0.41308948,other,mixed_other
airplane/horse,B_shape_A_texture,horse,airplane,329,403,horse,0.8870637,shape,horse,0.3682698,shape,deer,0.11315227,other,deer,0.45953196,other,mixed_other
airplane/horse,B_shape_A_texture,horse,airplane,276,482,bird,0.96176386,other,bird,0.72165203,other,bird,0.11607446,other,bird,0.83020884,other,all_other
airplane/horse,B_shape_A_texture,horse,airplane,335,181,airplane,0.48161405,texture,airplane,0.7694151,texture,truck,0.10328653,other,ship,0.18134554,other,mixed_other
airplane/horse,B_shape_A_texture,horse,airplane,230,22,deer,0.46050596,other,airplane,0.41904604,texture,horse,0.11446339,shape,horse,0.8976699,shape,disagree_shape_vs_texture
airplane/horse,B_shape_A_texture,horse,airplane,353,317,ship,0.60693383,other,airplane,0.92431104,texture,bird,0.104655065,other,car,0.23058161,other,mixed_other
airplane/horse,B_shape_A_texture,horse,airplane,352,393,bird,0.5282754,other,airplane,0.3853572,texture,bird,0.11961682,other,bird,0.9209374,other,mixed_other
airplane/horse,B_shape_A_texture,horse,airplane,302,285,ship,0.95531166,other,airplane,0.3613356,texture,bird,0.11284781,other,bird,0.8318546,other,mixed_other
airplane/horse,B_shape_A_texture,horse,airplane,179,384,bird,0.7754622,other,bird,0.8367816,other,bird,0.10340786,other,bird,0.23579861,other,all_other
airplane/horse,B_shape_A_texture,horse,airplane,259,387,airplane,0.6512343,texture,airplane,0.7452744,texture,airplane,0.121471375,texture,ship,0.52372324,other,mixed_other
airplane/horse,B_shape_A_texture,horse,airplane,209,371,ship,0.4445243,other,ship,0.23983772,other,cat,0.10267831,other,monkey,0.24684115,other,all_other
airplane/horse,B_shape_A_texture,horse,airplane,123,208,ship,0.91819304,other,airplane,0.9651824,texture,bird,0.10508115,other,bird,0.1608115,other,mixed_other
airplane/horse,B_shape_A_texture,horse,airplane,43,297,cat,0.3237964,other,car,0.32330772,other,horse,0.1264691,shape,horse,0.9699851,shape,mixed_other
airplane/horse,B_shape_A_texture,horse,airplane,203,348,horse,0.9525063,shape,horse,0.99890196,shape,horse,0.14846933,shape,horse,0.99641657,shape,all_shape
airplane/horse,B_shape_A_texture,horse,airplane,281,462,horse,0.32620716,shape,airplane,0.517238,texture,bird,0.1130096,other,bird,0.62977606,other,disagree_shape_vs_texture
airplane/horse,B_shape_A_texture,horse,airplane,381,399,bird,0.44105372,other,bird,0.96908194,other,bird,0.10904642,other,bird,0.53813887,other,all_other
airplane/horse,B_shape_A_texture,horse,airplane,430,167,ship,0.50163114,other,truck,0.5545302,other,truck,0.110900536,other,truck,0.68132067,other,all_other
airplane/horse,B_shape_A_texture,horse,airplane,388,199,ship,0.72823995,other,airplane,0.6381944,texture,bird,0.10519465,other,ship,0.45840496,other,mixed_other
airplane/horse,B_shape_A_texture,horse,airplane,476,454,airplane,0.36334962,texture,car,0.4018193,other,truck,0.10347177,other,ship,0.27712223,other,mixed_other
airplane/horse,B_shape_A_texture,horse,airplane,486,242,airplane,0.88846713,texture,airplane,0.85314995,texture,deer,0.10460684,other,deer,0.2718347,other,mixed_other
airplane/horse,B_shape_A_texture,horse,airplane,47,264,bird,0.91410995,other,bird,0.5827888,other,bird,0.10710329,other,bird,0.5484905,other,all_other
airplane/horse,B_shape_A_texture,horse,airplane,21,0,bird,0.95599616,other,car,0.1818706,other,bird,0.105277024,other,bird,0.360436,other,all_other
airplane/horse,B_shape_A_texture,horse,airplane,261,54,airplane,0.90568143,texture,airplane,0.97521657,texture,bird,0.103801504,other,ship,0.29760614,other,mixed_other
airplane/horse,B_shape_A_texture,horse,airplane,339,201,bird,0.6092631,other,airplane,0.2522088,texture,bird,0.10346331,other,bird,0.2254935,other,mixed_other
airplane/horse,B_shape_A_texture,horse,airplane,112,146,ship,0.8525412,other,airplane,0.64978117,texture,bird,0.112142,other,bird,0.45080078,other,mixed_other
airplane/horse,B_shape_A_texture,horse,airplane,407,263,bird,0.60414904,other,bird,0.8351939,other,bird,0.11162758,other,bird,0.5045693,other,all_other
bird/car,A_shape_B_texture,bird,car,288,258,bird,0.99196714,shape,bird,0.5216106,shape,bird,0.13100712,shape,bird,0.9705847,shape,all_shape
bird/car,A_shape_B_texture,bird,car,479,97,airplane,0.31854337,other,airplane,0.44325018,other,bird,0.117295526,shape,bird,0.9274463,shape,mixed_other
bird/car,A_shape_B_texture,bird,car,493,320,ship,0.6578339,other,airplane,0.89581513,other,bird,0.113160685,shape,bird,0.8173009,shape,mixed_other
bird/car,A_shape_B_texture,bird,car,380,495,bird,0.9996815,shape,bird,0.99946564,shape,bird,0.12744132,shape,bird,0.96212983,shape,all_shape
bird/car,A_shape_B_texture,bird,car,121,59,bird,0.2623365,shape,cat,0.34479797,other,bird,0.104978696,shape,ship,0.28117874,other,mixed_other
bird/car,A_shape_B_texture,bird,car,147,187,airplane,0.6927109,other,airplane,0.94857013,other,bird,0.104796946,shape,bird,0.22427665,shape,mixed_other
bird/car,A_shape_B_texture,bird,car,443,213,bird,0.582995,shape,airplane,0.417263,other,bird,0.10873026,shape,bird,0.50167054,shape,mixed_other
bird/car,A_shape_B_texture,bird,car,359,463,airplane,0.45108142,other,bird,0.6760617,shape,bird,0.1218358,shape,bird,0.9307803,shape,mixed_other
bird/car,A_shape_B_texture,bird,car,338,103,bird,0.5909549,shape,bird,0.7722695,shape,bird,0.12744705,shape,bird,0.9497139,shape,all_shape
bird/car,A_shape_B_texture,bird,car,251,292,bird,0.5054478,shape,bird,0.98802525,shape,bird,0.12551095,shape,bird,0.9725457,shape,all_shape
bird/car,A_shape_B_texture,bird,car,58,412,bird,0.55889255,shape,airplane,0.4673427,other,bird,0.10998351,shape,bird,0.5876586,shape,mixed_other
bird/car,A_shape_B_texture,bird,car,9,246,cat,0.40314466,other,bird,0.51875687,shape,bird,0.11539021,shape,bird,0.7888443,shape,mixed_other
bird/car,A_shape_B_texture,bird,car,249,392,airplane,0.42040324,other,airplane,0.8302042,other,bird,0.12441416,shape,bird,0.98831743,shape,mixed_other
bird/car,A_shape_B_texture,bird,car,152,49,bird,0.78053254,shape,bird,0.3621437,shape,bird,0.11776016,shape,bird,0.8995722,shape,all_shape
bird/car,A_shape_B_texture,bird,car,374,227,bird,0.9516772,shape,bird,0.45850235,shape,bird,0.13470225,shape,bird,0.9922133,shape,all_shape
bird/car,A_shape_B_texture,bird,car,87,60,bird,0.9845845,shape,airplane,0.40778235,other,bird,0.12995069,shape,bird,0.9853801,shape,mixed_other
bird/car,A_shape_B_texture,bird,car,20,144,bird,0.45060807,shape,bird,0.39954945,shape,truck,0.10494206,other,horse,0.21537623,other,mixed_other
bird/car,A_shape_B_texture,bird,car,406,142,bird,0.52778226,shape,car,0.35330692,texture,bird,0.10579147,shape,bird,0.3475091,shape,disagree_shape_vs_texture
bird/car,A_shape_B_texture,bird,car,94,375,bird,0.9812149,shape,bird,0.99955636,shape,bird,0.14430012,shape,bird,0.99734443,shape,all_shape
bird/car,A_shape_B_texture,bird,car,67,498,bird,0.7955197,shape,truck,0.3170953,other,bird,0.12677501,shape,bird,0.9718703,shape,mixed_other
bird/car,A_shape_B_texture,bird,car,424,70,bird,0.9725055,shape,bird,0.6638348,shape,bird,0.12317958,shape,bird,0.9362897,shape,all_shape
bird/car,A_shape_B_texture,bird,car,434,210,bird,0.9990447,shape,bird,0.9996617,shape,bird,0.13632895,shape,bird,0.99046105,shape,all_shape
bird/car,A_shape_B_texture,bird,car,172,307,ship,0.91278774,other,airplane,0.7662361,other,bird,0.1096986,shape,bird,0.27421018,shape,mixed_other
bird/car,A_shape_B_texture,bird,car,122,10,bird,0.84821653,shape,bird,0.4986808,shape,bird,0.12140217,shape,bird,0.9039495,shape,all_shape
bird/car,A_shape_B_texture,bird,car,248,277,bird,0.9974131,shape,bird,0.99829143,shape,bird,0.14205033,shape,bird,0.9959054,shape,all_shape
bird/car,B_shape_A_texture,car,bird,320,359,bird,0.5868452,texture,car,0.4338138,shape,car,0.11879669,shape,car,0.9613654,shape,disagree_shape_vs_texture
bird/car,B_shape_A_texture,car,bird,357,116,bird,0.49312496,texture,airplane,0.3976399,other,truck,0.10441393,other,bird,0.18310145,texture,mixed_other
bird/car,B_shape_A_texture,car,bird,277,152,bird,0.8694657,texture,car,0.7412912,shape,car,0.11736685,shape,car,0.97484493,shape,disagree_shape_vs_texture
bird/car,B_shape_A_texture,car,bird,307,386,bird,0.92192465,texture,airplane,0.22902802,other,bird,0.10585384,texture,bird,0.3178118,texture,mixed_other
bird/car,B_shape_A_texture,car,bird,306,3,bird,0.810505,texture,car,0.8708264,shape,car,0.10642512,shape,car,0.8093593,shape,disagree_shape_vs_texture
bird/car,B_shape_A_texture,car,bird,142,249,bird,0.9164114,texture,bird,0.2424692,texture,bird,0.106968,texture,bird,0.34455514,texture,all_texture
bird/car,B_shape_A_texture,car,bird,337,402,car,0.8736252,shape,car,0.9932549,shape,car,0.12816903,shape,car,0.95235646,shape,all_shape
bird/car,B_shape_A_texture,car,bird,97,279,bird,0.8988957,texture,car,0.91249675,shape,horse,0.10587823,other,car,0.46570107,shape,disagree_shape_vs_texture
bird/car,B_shape_A_texture,car,bird,332,342,bird,0.79925376,texture,car,0.97017306,shape,car,0.11380735,shape,car,0.81427765,shape,disagree_shape_vs_texture
bird/car,B_shape_A_texture,car,bird,98,251,car,0.9251161,shape,car,0.9974968,shape,car,0.12532473,shape,car,0.9919368,shape,all_shape
