system,condition,top1_acc,macro_f1,mean_max_conf,delta_acc_vs_clean,consistency
resnet50_head,clean,0.97,0.9699914984877281,0.9158788919448853,0.0,1.0
resnet50_head,grayscale,0.948,0.9482610131102784,0.9182605743408203,-0.02200000000000002,0.952
resnet50_head,hue_rotate,0.94,0.9399910971461537,0.9175129532814026,-0.030000000000000027,0.948
resnet50_head,patch_shuffle,0.886,0.8869838910859601,0.8761947154998779,-0.08399999999999996,0.894
vit_b16_head,clean,0.968,0.9680864475600199,0.9646357893943787,0.0,1.0
vit_b16_head,grayscale,0.946,0.946290446428924,0.9541899561882019,-0.02200000000000002,0.976
vit_b16_head,hue_rotate,0.932,0.9321774039856511,0.9364087581634521,-0.03599999999999992,0.958
vit_b16_head,patch_shuffle,0.914,0.9151424728319286,0.8955102562904358,-0.05399999999999994,0.938
clip_head,clean,0.968,0.9679576935401355,0.1417134404182434,0.0,1.0
clip_head,grayscale,0.928,0.9279045968879764,0.13781441748142242,-0.039999999999999925,0.938
clip_head,hue_rotate,0.918,0.9171089761278767,0.13584628701210022,-0.04999999999999993,0.93
clip_head,patch_shuffle,0.796,0.7957308212567803,0.1230236142873764,-0.17199999999999993,0.786
clip_zeroshot,clean,0.936,0.9355462540236349,0.9246219992637634,0.0,1.0
clip_zeroshot,grayscale,0.908,0.9062903250549414,0.9160520434379578,-0.028000000000000025,0.922
clip_zeroshot,hue_rotate,0.916,0.9140024555861153,0.904720664024353,-0.020000000000000018,0.93
clip_zeroshot,patch_shuffle,0.798,0.7971219599723904,0.7693225741386414,-0.138,0.798
