system,condition,class,accuracy
resnet50_head,clean,airplane,0.96
resnet50_head,clean,bird,0.98
resnet50_head,clean,car,0.98
resnet50_head,clean,cat,0.92
resnet50_head,clean,deer,0.96
resnet50_head,clean,dog,0.96
resnet50_head,clean,horse,0.96
resnet50_head,clean,monkey,0.98
resnet50_head,clean,ship,1.0
resnet50_head,clean,truck,1.0
resnet50_head,grayscale,airplane,0.94
resnet50_head,grayscale,bird,0.92
resnet50_head,grayscale,car,0.98
resnet50_head,grayscale,cat,0.94
resnet50_head,grayscale,deer,0.96
resnet50_head,grayscale,dog,0.9
resnet50_head,grayscale,horse,0.96
resnet50_head,grayscale,monkey,0.92
resnet50_head,grayscale,ship,0.98
resnet50_head,grayscale,truck,0.98
resnet50_head,hue_rotate,airplane,0.98
resnet50_head,hue_rotate,bird,0.98
resnet50_head,hue_rotate,car,0.98
resnet50_head,hue_rotate,cat,0.94
resnet50_head,hue_rotate,deer,0.96
resnet50_head,hue_rotate,dog,0.86
resnet50_head,hue_rotate,horse,0.86
resnet50_head,hue_rotate,monkey,0.9
resnet50_head,hue_rotate,ship,0.98
resnet50_head,hue_rotate,truck,0.96
resnet50_head,patch_shuffle,airplane,0.9
resnet50_head,patch_shuffle,bird,0.98
resnet50_head,patch_shuffle,car,0.96
resnet50_head,patch_shuffle,cat,0.76
resnet50_head,patch_shuffle,deer,0.96
resnet50_head,patch_shuffle,dog,0.74
resnet50_head,patch_shuffle,horse,0.86
resnet50_head,patch_shuffle,monkey,0.84
resnet50_head,patch_shuffle,ship,0.96
resnet50_head,patch_shuffle,truck,0.9
vit_b16_head,clean,airplane,0.96
vit_b16_head,clean,bird,0.96
vit_b16_head,clean,car,0.98
vit_b16_head,clean,cat,0.98
vit_b16_head,clean,deer,0.96
vit_b16_head,clean,dog,0.96
vit_b16_head,clean,horse,0.92
vit_b16_head,clean,monkey,0.98
vit_b16_head,clean,ship,1.0
vit_b16_head,clean,truck,0.98
vit_b16_head,grayscale,airplane,0.92
vit_b16_head,grayscale,bird,0.96
vit_b16_head,grayscale,car,0.96
vit_b16_head,grayscale,cat,0.98
vit_b16_head,grayscale,deer,0.96
vit_b16_head,grayscale,dog,0.88
vit_b16_head,grayscale,horse,0.9
vit_b16_head,grayscale,monkey,0.96
vit_b16_head,grayscale,ship,0.96
vit_b16_head,grayscale,truck,0.98
vit_b16_head,hue_rotate,airplane,0.96
vit_b16_head,hue_rotate,bird,0.98
vit_b16_head,hue_rotate,car,0.98
vit_b16_head,hue_rotate,cat,0.92
vit_b16_head,hue_rotate,deer,0.96
vit_b16_head,hue_rotate,dog,0.84
vit_b16_head,hue_rotate,horse,0.82
vit_b16_head,hue_rotate,monkey,0.92
vit_b16_head,hue_rotate,ship,0.98
vit_b16_head,hue_rotate,truck,0.96
vit_b16_head,patch_shuffle,airplane,0.98
vit_b16_head,patch_shuffle,bird,0.94
vit_b16_head,patch_shuffle,car,0.92
vit_b16_head,patch_shuffle,cat,0.86
vit_b16_head,patch_shuffle,deer,0.92
vit_b16_head,patch_shuffle,dog,0.84
vit_b16_head,patch_shuffle,horse,0.82
vit_b16_head,patch_shuffle,monkey,0.96
vit_b16_head,patch_shuffle,ship,0.96
vit_b16_head,patch_shuffle,truck,0.94
clip_head,clean,airplane,0.98
clip_head,clean,bird,1.0
clip_head,clean,car,0.98
clip_head,clean,cat,0.92
clip_head,clean,deer,0.98
clip_head,clean,dog,0.92
clip_head,clean,horse,0.98
clip_head,clean,monkey,0.98
clip_head,clean,ship,1.0
clip_head,clean,truck,0.94
clip_head,grayscale,airplane,0.98
clip_head,grayscale,bird,0.96
clip_head,grayscale,car,0.98
clip_head,grayscale,cat,0.92
clip_head,grayscale,deer,0.96
clip_head,grayscale,dog,0.8
clip_head,grayscale,horse,0.92
clip_head,grayscale,monkey,0.88
clip_head,grayscale,ship,0.94
clip_head,grayscale,truck,0.94
clip_head,hue_rotate,airplane,0.98
clip_head,hue_rotate,bird,0.98
clip_head,hue_rotate,car,0.98
clip_head,hue_rotate,cat,0.82
clip_head,hue_rotate,deer,0.96
clip_head,hue_rotate,dog,0.82
clip_head,hue_rotate,horse,0.92
clip_head,hue_rotate,monkey,0.84
clip_head,hue_rotate,ship,1.0
clip_head,hue_rotate,truck,0.88
clip_head,patch_shuffle,airplane,0.94
clip_head,patch_shuffle,bird,1.0
clip_head,patch_shuffle,car,0.88
clip_head,patch_shuffle,cat,0.66
clip_head,patch_shuffle,deer,0.76
clip_head,patch_shuffle,dog,0.66
clip_head,patch_shuffle,horse,0.64
clip_head,patch_shuffle,monkey,0.8
clip_head,patch_shuffle,ship,0.74
