backbone,intervention,I_T,std,median,p05,min,n_pairs,I_T_per_direction
resnet50,grayscale,0.7867447733879089,0.0985027402639389,0.7980712652206421,0.6032934784889221,0.43313905596733093,500,
resnet50,hue_rotate,0.8158819675445557,0.09616172313690186,0.8306704759597778,0.6314929723739624,0.43376123905181885,500,
resnet50,patch_shuffle,0.7149674296379089,0.07360180467367172,0.7219754457473755,0.5757244825363159,0.44166287779808044,500,
resnet50,cue_conflict,0.2483704537153244,0.15869195759296417,0.19873830676078796,0.07638111710548401,0.03777223452925682,250,
resnet50,translate_8,0.9680981636047363,0.01774253137409687,0.9718218445777893,0.9359206557273865,0.8007342219352722,2000,"[0.9662963151931763, 0.9741659164428711, 0.9638885855674744, 0.9680416584014893]"
resnet50,translate_16,0.9530872702598572,0.02712113969027996,0.9594743251800537,0.9021456241607666,0.7761844992637634,2000,"[0.946671187877655, 0.9616955518722534, 0.9495757222175598, 0.9544064998626709]"
resnet50,translate_32,0.9336679577827454,0.03996448963880539,0.9431976079940796,0.856960117816925,0.688906192779541,2000,"[0.9228609204292297, 0.9426571130752563, 0.9318650364875793, 0.9372888207435608]"
vit_b16,grayscale,0.7368043065071106,0.12635919451713562,0.749304473400116,0.4916832149028778,0.17980818450450897,500,
vit_b16,hue_rotate,0.6870884895324707,0.15810374915599823,0.7083508968353271,0.4088350832462311,0.1977204531431198,500,
vit_b16,patch_shuffle,0.6523904800415039,0.1131378561258316,0.6569374799728394,0.45595604181289673,0.2866705060005188,500,
vit_b16,cue_conflict,0.23080942034721375,0.20870162546634674,0.16581708192825317,0.01187863852828741,-0.03833210468292236,250,
vit_b16,translate_8,0.9473314881324768,0.029974471777677536,0.9533953666687012,0.8886418342590332,0.7779406309127808,2000,"[0.9496886730194092, 0.9516155123710632, 0.9432230591773987, 0.9447985887527466]"
vit_b16,translate_16,0.9745228290557861,0.02576284110546112,0.9823480844497681,0.9238840341567993,0.6456029415130615,2000,"[0.9760306477546692, 0.9773278832435608, 0.9710192680358887, 0.9737135171890259]"
vit_b16,translate_32,0.9431376457214355,0.045372284948825836,0.9556896686553955,0.8519109487533569,0.5749154090881348,2000,"[0.9507133960723877, 0.9517550468444824, 0.934196412563324, 0.9358857274055481]"
clip_vitb32,grayscale,0.8940716981887817,0.038450900465250015,0.8976386189460754,0.8232000470161438,0.7380731105804443,500,
clip_vitb32,hue_rotate,0.8959545493125916,0.04761163890361786,0.902938723564148,0.8070787191390991,0.7184591293334961,500,
clip_vitb32,patch_shuffle,0.7327370643615723,0.05872534587979317,0.7350254058837891,0.6261295080184937,0.5652329325675964,500,
clip_vitb32,cue_conflict,0.6818742752075195,0.0854635164141655,0.68060302734375,0.5486793518066406,0.47497424483299255,250,
clip_vitb32,translate_8,0.9806326031684875,0.01036915834993124,0.9828804731369019,0.9612917304039001,0.9180955290794373,2000,"[0.9809290766716003, 0.9811050891876221, 0.9799212217330933, 0.9805752038955688]"
clip_vitb32,translate_16,0.9680185914039612,0.01645016297698021,0.9713215827941895,0.936720073223114,0.8777199983596802,2000,"[0.9660050272941589, 0.9658201932907104, 0.9705020189285278, 0.9697473049163818]"
clip_vitb32,translate_32,0.9696663022041321,0.02019403874874115,0.9746395945549011,0.9303478598594666,0.8263795971870422,2000,"[0.964388906955719, 0.9651405215263367, 0.9746744632720947, 0.9744613170623779]"
