system,scope,n_total,n_shape,n_texture,n_other,shape_bias_pct,coverage_pct
resnet50_head,all,250,70,62,118,53.03030303030303,52.8
resnet50_head,pair=airplane/horse,50,3,6,41,33.333333333333336,18.0
resnet50_head,pair=bird/car,50,21,21,8,50.0,84.0
resnet50_head,pair=cat/ship,50,5,18,27,21.73913043478261,46.0
resnet50_head,pair=deer/truck,50,11,16,23,40.74074074074074,54.0
resnet50_head,pair=dog/monkey,50,30,1,19,96.7741935483871,62.0
resnet50_head,cell=airplane(shape)/horse(texture),25,0,1,24,0.0,4.0
resnet50_head,cell=horse(shape)/airplane(texture),25,3,5,17,37.5,32.0
resnet50_head,cell=bird(shape)/car(texture),25,18,0,7,100.0,72.0
resnet50_head,cell=car(shape)/bird(texture),25,3,21,1,12.5,96.0
resnet50_head,cell=cat(shape)/ship(texture),25,1,16,8,5.882352941176471,68.0
resnet50_head,cell=ship(shape)/cat(texture),25,4,2,19,66.66666666666667,24.0
resnet50_head,cell=deer(shape)/truck(texture),25,4,3,18,57.142857142857146,28.0
resnet50_head,cell=truck(shape)/deer(texture),25,7,13,5,35.0,80.0
resnet50_head,cell=dog(shape)/monkey(texture),25,16,1,8,94.11764705882354,68.0
resnet50_head,cell=monkey(shape)/dog(texture),25,14,0,11,100.0,56.0
vit_b16_head,all,250,104,36,110,74.28571428571429,56.0
vit_b16_head,pair=airplane/horse,50,13,14,23,48.148148148148145,54.0
vit_b16_head,pair=bird/car,50,32,4,14,88.88888888888889,72.0
vit_b16_head,pair=cat/ship,50,10,9,31,52.63157894736842,38.0
vit_b16_head,pair=deer/truck,50,16,3,31,84.21052631578948,38.0
vit_b16_head,pair=dog/monkey,50,33,6,11,84.61538461538461,78.0
vit_b16_head,cell=airplane(shape)/horse(texture),25,11,1,13,91.66666666666667,48.0
vit_b16_head,cell=horse(shape)/airplane(texture),25,2,13,10,13.333333333333334,60.0
vit_b16_head,cell=bird(shape)/car(texture),25,14,1,10,93.33333333333333,60.0
vit_b16_head,cell=car(shape)/bird(texture),25,18,3,4,85.71428571428571,84.0
vit_b16_head,cell=cat(shape)/ship(texture),25,3,6,16,33.333333333333336,36.0
vit_b16_head,cell=ship(shape)/cat(texture),25,7,3,15,70.0,40.0
vit_b16_head,cell=deer(shape)/truck(texture),25,5,0,20,100.0,20.0
vit_b16_head,cell=truck(shape)/deer(texture),25,11,3,11,78.57142857142857,56.0
vit_b16_head,cell=dog(shape)/monkey(texture),25,13,4,8,76.47058823529412,68.0
vit_b16_head,cell=monkey(shape)/dog(texture),25,20,2,3,90.9090909090909,88.0
clip_head,all,250,125,16,109,88.65248226950355,56.4
clip_head,pair=airplane/horse,50,13,3,34,81.25,32.0
clip_head,pair=bird/car,50,41,4,5,91.11111111111111,90.0
clip_head,pair=cat/ship,50,11,1,38,91.66666666666667,24.0
clip_head,pair=deer/truck,50,30,2,18,93.75,64.0
clip_head,pair=dog/monkey,50,30,6,14,83.33333333333333,72.0
clip_head,cell=airplane(shape)/horse(texture),25,10,2,13,83.33333333333333,48.0
clip_head,cell=horse(shape)/airplane(texture),25,3,1,21,75.0,16.0
clip_head,cell=bird(shape)/car(texture),25,24,0,1,100.0,96.0
clip_head,cell=car(shape)/bird(texture),25,17,4,4,80.95238095238095,84.0
clip_head,cell=cat(shape)/ship(texture),25,3,0,22,100.0,12.0
clip_head,cell=ship(shape)/cat(texture),25,8,1,16,88.88888888888889,36.0
clip_head,cell=deer(shape)/truck(texture),25,10,2,13,83.33333333333333,48.0
clip_head,cell=truck(shape)/deer(texture),25,20,0,5,100.0,80.0
clip_head,cell=dog(shape)/monkey(texture),25,15,4,6,78.94736842105263,76.0
clip_head,cell=monkey(shape)/dog(texture),25,15,2,8,88.23529411764706,68.0
clip_zeroshot,all,250,120,17,113,87.5912408759124,54.8
clip_zeroshot,pair=airplane/horse,50,11,3,36,78.57142857142857,28.0
clip_zeroshot,pair=bird/car,50,43,4,3,91.48936170212765,94.0
clip_zeroshot,pair=cat/ship,50,15,7,28,68.18181818181819,44.0
clip_zeroshot,pair=deer/truck,50,21,0,29,100.0,42.0
clip_zeroshot,pair=dog/monkey,50,30,3,17,90.9090909090909,66.0
clip_zeroshot,cell=airplane(shape)/horse(texture),25,8,3,14,72.72727272727273,44.0
clip_zeroshot,cell=horse(shape)/airplane(texture),25,3,0,22,100.0,12.0
clip_zeroshot,cell=bird(shape)/car(texture),25,23,0,2,100.0,92.0
clip_zeroshot,cell=car(shape)/bird(texture),25,20,4,1,83.33333333333333,96.0
clip_zeroshot,cell=cat(shape)/ship(texture),25,2,7,16,22.22222222222222,36.0
clip_zeroshot,cell=ship(shape)/cat(texture),25,13,0,12,100.0,52.0
clip_zeroshot,cell=deer(shape)/truck(texture),25,8,0,17,100.0,32.0
clip_zeroshot,cell=truck(shape)/deer(texture),25,13,0,12,100.0,52.0
clip_zeroshot,cell=dog(shape)/monkey(texture),25,15,1,9,93.75,64.0
clip_zeroshot,cell=monkey(shape)/dog(texture),25,15,2,8,88.23529411764706,68.0
