system,displacement_px,direction,top1_acc,consistency,top1_acc_std,consistency_std
resnet50_head,0,right,0.97,1.0,,
resnet50_head,8,right,0.964,0.99,,
resnet50_head,16,right,0.958,0.986,,
resnet50_head,32,right,0.956,0.978,,
resnet50_head,0,left,0.97,1.0,,
resnet50_head,8,left,0.966,0.984,,
resnet50_head,16,left,0.962,0.984,,
resnet50_head,32,left,0.952,0.976,,
resnet50_head,0,down,0.97,1.0,,
resnet50_head,8,down,0.96,0.988,,
resnet50_head,16,down,0.964,0.994,,
resnet50_head,32,down,0.958,0.98,,
resnet50_head,0,up,0.97,1.0,,
resnet50_head,8,up,0.966,0.984,,
resnet50_head,16,up,0.968,0.99,,
resnet50_head,32,up,0.962,0.978,,
vit_b16_head,0,right,0.968,1.0,,
vit_b16_head,8,right,0.968,0.988,,
vit_b16_head,16,right,0.968,0.988,,
vit_b16_head,32,right,0.962,0.986,,
vit_b16_head,0,left,0.968,1.0,,
vit_b16_head,8,left,0.966,0.986,,
vit_b16_head,16,left,0.962,0.99,,
vit_b16_head,32,left,0.958,0.984,,
vit_b16_head,0,down,0.968,1.0,,
vit_b16_head,8,down,0.976,0.982,,
vit_b16_head,16,down,0.968,0.994,,
vit_b16_head,32,down,0.964,0.988,,
vit_b16_head,0,up,0.968,1.0,,
vit_b16_head,8,up,0.974,0.984,,
vit_b16_head,16,up,0.968,0.994,,
vit_b16_head,32,up,0.968,0.992,,
clip_head,0,right,0.968,1.0,,
clip_head,8,right,0.96,0.972,,
clip_head,16,right,0.954,0.962,,
clip_head,32,right,0.944,0.952,,
clip_head,0,left,0.968,1.0,,
clip_head,8,left,0.952,0.964,,
clip_head,16,left,0.95,0.958,,
clip_head,32,left,0.95,0.956,,
clip_head,0,down,0.968,1.0,,
clip_head,8,down,0.966,0.968,,
clip_head,16,down,0.96,0.966,,
clip_head,32,down,0.95,0.964,,
clip_head,0,up,0.968,1.0,,
clip_head,8,up,0.964,0.97,,
clip_head,16,up,0.958,0.96,,
clip_head,32,up,0.938,0.958,,
clip_zeroshot,0,right,0.936,1.0,,
clip_zeroshot,8,right,0.95,0.956,,
clip_zeroshot,16,right,0.944,0.954,,
clip_zeroshot,32,right,0.924,0.966,,
clip_zeroshot,0,left,0.936,1.0,,
clip_zeroshot,8,left,0.942,0.956,,
clip_zeroshot,16,left,0.932,0.95,,
clip_zeroshot,32,left,0.926,0.96,,
clip_zeroshot,0,down,0.936,1.0,,
clip_zeroshot,8,down,0.95,0.958,,
clip_zeroshot,16,down,0.95,0.962,,
clip_zeroshot,32,down,0.924,0.966,,
clip_zeroshot,0,up,0.936,1.0,,
clip_zeroshot,8,up,0.948,0.968,,
clip_zeroshot,16,up,0.942,0.954,,
clip_zeroshot,32,up,0.936,0.964,,
clip_head,0,mean,0.968,1.0,0.0,0.0
clip_head,8,mean,0.9604999999999999,0.9684999999999999,0.006191391873668929,0.0034156502553198743
clip_head,16,mean,0.9555,0.9615,0.004434711565216673,0.0034156502553198743
clip_head,32,mean,0.9455,0.9575,0.00574456264653805,0.005000000000000019
clip_zeroshot,0,mean,0.936,1.0,0.0,0.0
clip_zeroshot,8,mean,0.9475,0.9595,0.0037859388972001948,0.0057445626465380045
clip_zeroshot,16,mean,0.942,0.955,0.007483314773547844,0.005033222956847183
clip_zeroshot,32,mean,0.9275,0.964,0.005744562646538008,0.0028284271247461922
resnet50_head,0,mean,0.97,1.0,0.0,0.0
resnet50_head,8,mean,0.964,0.9864999999999999,0.002828427124746186,0.0029999999999999892
resnet50_head,16,mean,0.963,0.9884999999999999,0.0041633319989322825,0.004434711565216698
resnet50_head,32,mean,0.957,0.978,0.0041633319989322825,0.0016329931618554536
vit_b16_head,0,mean,0.968,1.0,0.0,0.0
vit_b16_head,8,mean,0.971,0.985,0.004760952285695237,0.002581988897471599
vit_b16_head,16,mean,0.9664999999999999,0.9915,0.0030000000000000087,0.002999999999999977
vit_b16_head,32,mean,0.963,0.9875,0.0041633319989322825,0.0034156502553198526
