x,y,class,condition
-1.7359345,49.695896,airplane,clean
24.75504,-18.955435,dog,clean
-8.071478,-37.082592,monkey,clean
-22.221165,-25.709944,bird,clean
32.529305,15.700438,truck,clean
28.359129,50.961586,ship,clean
31.452045,-47.100914,deer,clean
13.35876,-44.529312,cat,clean
-2.377275,-31.303501,monkey,clean
-31.58822,-26.823225,bird,clean
12.63778,21.052341,car,clean
-32.673378,-26.983864,bird,clean
18.127308,-17.291048,dog,clean
-31.97639,-22.210411,bird,clean
11.238224,-47.635242,cat,clean
2.2832723,54.93371,airplane,clean
-29.173447,-31.813852,bird,clean
20.774818,16.471975,truck,clean
22.579472,51.796906,ship,clean
47.168865,-13.436744,horse,clean
-22.997408,-31.308828,bird,clean
40.982693,-20.457312,horse,clean
3.3600442,48.655758,airplane,clean
34.13095,18.84547,truck,clean
-12.044108,-39.376667,monkey,clean
19.398802,56.285427,ship,clean
24.879923,45.810696,ship,clean
28.022604,-48.475292,deer,clean
30.66673,-52.02924,deer,clean
26.572493,41.998024,ship,clean
23.595371,-18.806925,dog,clean
23.514675,42.711647,ship,clean
27.253296,-51.77355,deer,clean
23.36179,-15.046667,dog,clean
33.248856,19.23487,truck,clean
29.016241,44.50622,ship,clean
24.066565,-25.163963,dog,clean
-11.365713,-31.307753,monkey,clean
12.176973,-30.87093,cat,clean
2.8392992,-25.764782,monkey,clean
19.011911,15.338405,truck,clean
-6.5196443,52.817505,airplane,clean
-25.240847,-32.469837,bird,clean
52.07439,-15.048737,horse,clean
14.7285795,-23.42908,dog,clean
-1.8980075,49.07294,airplane,clean
28.09519,20.610027,truck,clean
49.118034,-15.156417,horse,clean
27.196486,-49.474503,deer,clean
8.769781,25.118856,car,clean
4.410039,51.483753,airplane,clean
-11.198503,-27.088146,monkey,clean
-26.994278,-33.392418,bird,clean
0.8960663,19.117935,car,clean
-2.8174436,52.826096,airplane,clean
-7.849986,-35.09536,monkey,clean
10.463966,21.18186,car,clean
-12.572628,-29.462656,monkey,clean
-31.912827,-28.410746,bird,clean
18.178553,21.54269,car,clean
18.16172,16.656443,car,clean
8.347253,-34.553448,cat,clean
29.942345,-53.920403,deer,clean
28.75323,-52.176537,deer,clean
-0.56700236,-33.666668,monkey,clean
16.559221,-20.536211,dog,clean
-6.4299617,-39.03203,monkey,clean
-29.299273,-33.33678,bird,clean
-26.873556,-22.168848,bird,clean
19.874126,-19.390413,dog,clean
13.284768,30.074377,car,clean
16.772457,-26.781443,cat,clean
-10.60021,-33.010193,monkey,clean
20.403393,-28.496658,dog,clean
-1.1890681,-46.498356,cat,clean
27.428871,19.435253,truck,clean
9.4760685,27.943718,car,clean
-7.405385,-34.093037,monkey,clean
12.143009,-29.502602,cat,clean
39.11211,16.378345,truck,clean
3.133443,-45.792084,cat,clean
30.38793,-54.76993,deer,clean
30.718332,-54.223167,deer,clean
26.054861,54.075806,ship,clean
4.233436,-47.71138,cat,clean
-21.676708,-22.261505,bird,clean
8.204334,-19.518755,dog,clean
-32.720364,-30.355236,bird,clean
-6.493504,48.329704,airplane,clean
-8.894883,58.928856,airplane,clean
-6.053296,-28.499039,monkey,clean
2.9455562,54.641335,airplane,clean
-17.492126,-29.124376,monkey,clean
-30.193867,-21.06833,bird,clean
-31.20633,-22.873291,bird,clean
13.077172,-32.018185,cat,clean
-1.1578509,-43.723545,cat,clean
10.517049,23.159113,car,clean
6.2302914,27.744188,car,clean
28.22819,48.922577,ship,clean
9.049303,-40.415745,cat,clean
-0.99277294,44.694805,airplane,clean
31.05946,-50.38659,deer,clean
25.132015,14.896568,car,clean
30.725075,45.24774,ship,clean
