x,y,class,condition
32.72755,-32.664722,airplane,clean
-8.373566,-0.5046681,dog,clean
-38.749165,-21.542994,monkey,clean
-3.0448053,-31.746506,bird,clean
41.323658,12.550752,truck,clean
66.21722,-3.9620547,ship,clean
-26.855825,43.8475,deer,clean
-51.55627,9.6397505,cat,clean
-37.00905,-16.069702,monkey,clean
0.5955362,-51.68765,bird,clean
21.05633,35.16872,car,clean
0.035576675,-49.72343,bird,clean
-25.76707,-0.005296703,dog,clean
-10.272461,-43.482265,bird,clean
-55.752037,6.825938,cat,clean
49.33387,-17.005882,airplane,clean
-4.792771,-51.628963,bird,clean
30.269188,17.782574,truck,clean
54.297077,-1.2975236,ship,clean
-4.096495,19.03466,horse,clean
-19.020481,-26.598476,bird,clean
-9.799268,21.500364,horse,clean
37.730167,-11.613978,airplane,clean
42.33267,16.874374,truck,clean
-46.433426,-34.684765,monkey,clean
68.85981,1.3562273,ship,clean
64.16719,-7.0285788,ship,clean
-29.931524,19.14448,deer,clean
-33.677406,22.241478,deer,clean
57.733826,-8.132925,ship,clean
-29.497528,7.344117,dog,clean
63.297558,3.582805,ship,clean
-35.818607,27.225435,deer,clean
-14.395209,5.50022,dog,clean
43.92048,21.002554,truck,clean
64.8765,-8.498942,ship,clean
-23.492964,12.497541,dog,clean
-41.85495,-19.616148,monkey,clean
-50.780376,-3.0268729,cat,clean
-48.630733,-22.802942,monkey,clean
27.896599,20.736954,truck,clean
40.068783,-27.3068,airplane,clean
-12.889606,-37.248127,bird,clean
3.6026406,22.454676,horse,clean
-18.49547,10.726644,dog,clean
37.60285,-35.005283,airplane,clean
39.602108,23.288877,truck,clean
-3.0670862,20.486822,horse,clean
-37.574955,33.262753,deer,clean
31.585491,41.91838,car,clean
47.020515,-12.190477,airplane,clean
-37.69912,-23.816463,monkey,clean
-13.464153,-33.22107,bird,clean
22.430056,40.165844,car,clean
37.617935,-32.587597,airplane,clean
-44.023937,-24.260418,monkey,clean
18.52766,36.33757,car,clean
-37.071083,-34.910217,monkey,clean
-3.660959,-45.376987,bird,clean
16.940592,48.628,car,clean
26.696611,22.714325,car,clean
-46.727665,5.9784164,cat,clean
-29.381166,28.422697,deer,clean
-32.138218,22.464415,deer,clean
-4.3901753,-23.62515,monkey,clean
-5.8902717,33.65849,dog,clean
-50.3183,-23.025944,monkey,clean
-21.85772,-41.75325,bird,clean
-6.580512,-35.38569,bird,clean
-17.584677,-9.794423,dog,clean
18.460405,43.800728,car,clean
-20.901379,0.7597446,cat,clean
-34.164806,-29.273947,monkey,clean
-9.281779,5.451942,dog,clean
-62.74727,-0.8269205,cat,clean
39.24711,21.172394,truck,clean
28.278572,45.837364,car,clean
-40.585083,-24.613642,monkey,clean
-50.01126,3.7083795,cat,clean
26.141958,9.447717,truck,clean
-51.146168,13.513566,cat,clean
-37.944214,19.600548,deer,clean
-35.53247,19.534376,deer,clean
45.537094,-8.200218,ship,clean
-43.827427,13.035155,cat,clean
-9.474788,-35.943584,bird,clean
-10.37811,10.381932,dog,clean
-18.884022,-33.90003,bird,clean
47.371876,-24.362448,airplane,clean
46.516228,-31.055176,airplane,clean
-36.953262,-31.809566,monkey,clean
50.053905,-17.698492,airplane,clean
-33.325596,-40.64803,monkey,clean
-8.230588,-39.92046,bird,clean
-9.649663,-39.344757,bird,clean
-53.521126,0.057663716,cat,clean
-56.798634,-5.4359264,cat,clean
31.33307,43.371685,car,clean
28.842548,49.264896,car,clean
59.199745,-1.9810832,ship,clean
-29.81858,-12.483719,cat,clean
41.05099,-27.973803,airplane,clean
-37.82482,14.388796,deer,clean
30.595377,27.790459,car,clean
69.52559,-6.799141,ship,clean
-50.430565,13.821806,cat,clean
-39.190014,-10.881344,monkey,clean
-1.4849811,23.306156,horse,clean
-14.0567255,-26.055601,bird,clean
24.933304,22.717068,truck,clean
-32.672283,31.422865,deer,clean
46.60615,22.404335,truck,clean
-18.570911,33.68559,horse,clean
-34.298122,23.003368,deer,clean
-24.435162,34.215397,horse,clean
66.31731,-8.895262,ship,clean
-15.3099985,-48.519386,bird,clean
-34.310368,-42.084995,monkey,clean
-26.9596,11.032877,dog,clean
49.22677,17.495392,truck,clean
-40.568787,-31.134333,monkey,clean
-58.92172,-1.7942804,bird,clean
-9.1193695,-44.168194,bird,clean
-12.571933,22.59654,horse,clean
-33.654034,37.665733,deer,clean
-25.733433,9.827152,dog,clean
50.982754,-15.612835,airplane,clean
38.67813,6.168421,truck,clean
61.468937,-0.35235867,ship,clean
-2.5176353,6.9657683,deer,clean
34.661175,12.799503,truck,clean
-49.653217,-6.598759,cat,clean
-18.399075,-1.4045895,cat,clean
-26.261822,27.415808,deer,clean
27.885805,50.227596,car,clean
-45.63081,-5.637079,cat,clean
-19.421217,-9.206217,dog,clean
-32.623608,37.165665,deer,clean
-35.9679,38.854397,deer,clean
18.201963,-23.459562,dog,clean
-29.270521,3.0057762,dog,clean
-43.899788,-18.235035,monkey,clean
18.35844,31.14958,car,clean
25.430912,42.340588,car,clean
22.093084,32.75228,car,clean
-58.475815,2.8875594,cat,clean
50.19017,-16.404844,airplane,clean
0.54496247,-49.92122,bird,clean
-29.957659,34.429592,deer,clean
70.62369,-15.741582,ship,clean
-31.369799,-2.0494235,dog,clean
52.55264,-9.517753,ship,clean
-19.268549,-33.64123,bird,clean
31.852556,40.24993,car,clean
-19.218527,-7.689256,dog,clean
-51.910572,0.12093182,cat,clean
-34.710133,-40.10086,monkey,clean
61.868675,1.1845647,ship,clean
28.09024,12.666211,truck,clean
-0.3504273,13.142414,horse,clean
27.8515,6.8047853,truck,clean
-49.104176,-34.019787,monkey,clean
-36.116756,23.524595,deer,clean
-15.583073,8.582681,dog,clean
23.499033,39.58646,car,clean
46.7761,20.582155,truck,clean
-15.596841,-8.342739,dog,clean
49.794224,-13.07329,airplane,clean
-51.14883,-23.809647,monkey,clean
-42.733353,23.751799,deer,clean
-10.961987,-40.922295,bird,clean
1.0479811,-41.912014,bird,clean
-5.005568,-46.64886,bird,clean
-21.570446,34.581314,horse,clean
-13.560117,13.199109,dog,clean
-35.78436,35.3411,deer,clean
-36.3979,20.622051,deer,clean
44.73378,22.625757,truck,clean
60.68515,-0.37818933,ship,clean
-25.101196,32.308617,horse,clean
-48.33851,11.595284,cat,clean
39.637768,-19.931847,airplane,clean
-48.4553,-33.27445,monkey,clean
36.29886,-30.311703,airplane,clean
-56.32487,-7.408644,cat,clean
34.947117,-36.58117,airplane,clean
-34.398018,18.851105,deer,clean
27.834803,41.728302,car,clean
40.3345,20.972956,truck,clean
52.90705,3.504796,ship,clean
-13.550352,-14.434771,dog,clean
62.171143,2.3401153,ship,clean
4.6716695,18.333307,horse,clean
-46.429417,2.4559019,cat,clean
-56.964497,18.01722,dog,clean
55.137184,-4.370302,ship,clean
-5.553737,20.267338,horse,clean
14.153487,21.280762,deer,clean
-26.45469,12.346039,dog,clean
37.451607,-14.058991,airplane,clean
-52.632256,-1.590332,cat,clean
35.461536,-27.125675,airplane,clean
67.91666,-8.033219,ship,clean
-8.846481,29.17708,horse,clean
35.80205,37.597515,car,clean
-25.016205,15.131078,dog,clean
-36.72418,19.725035,deer,clean
59.54149,-1.0241023,ship,clean
47.906624,-25.374096,airplane,clean
2.6655352,22.571196,horse,clean
26.842115,29.463867,car,clean
-38.38516,-24.440641,monkey,clean
-32.505447,-16.495739,monkey,clean
33.072918,40.054977,car,clean
-8.915689,16.758286,horse,clean
-34.562706,21.728556,deer,clean
30.613764,41.218754,car,clean
-33.35541,-38.218884,monkey,clean
50.922447,18.53572,truck,clean
3.136478,23.596844,horse,clean
42.09312,18.846016,truck,clean
-22.407084,9.503415,dog,clean
-1.2066712,19.123442,horse,clean
-33.58211,2.4127724,dog,clean
64.03445,5.5779123,ship,clean
-18.368206,-22.105707,bird,clean
53.97846,-12.16758,ship,clean
16.335775,41.78437,car,clean
44.54127,-20.350945,airplane,clean
49.091946,-16.17681,airplane,clean
-8.749311,27.756727,horse,clean
48.757587,8.560645,truck,clean
52.787678,-7.9044747,ship,clean
43.785236,16.419434,truck,clean
-2.6160328,-42.68602,bird,clean
-63.334187,0.09859337,cat,clean
-50.808975,-0.14429441,cat,clean
-40.90015,-32.535343,monkey,clean
57.84277,2.3306558,ship,clean
61.320477,1.1561607,ship,clean
44.376755,17.986341,truck,clean
-24.252571,7.982545,dog,clean
34.15651,-24.04071,airplane,clean
-49.01194,-0.96704465,cat,clean
-49.02419,13.262116,cat,clean
25.83977,-9.141205,airplane,clean
29.686636,32.751514,car,clean
-10.349181,-30.113926,bird,clean
-5.9343553,-39.342102,bird,clean
-4.1559515,-47.631145,bird,clean
-43.94455,-30.93305,monkey,clean
-19.415253,-27.453297,bird,clean
-35.80707,-39.86804,monkey,clean
-11.68778,20.896648,horse,clean
-4.6710734,24.24937,horse,clean
-5.1200967,12.640099,horse,clean
-57.082817,16.32736,dog,clean
-9.665883,23.90071,horse,clean
25.518785,32.08234,car,clean
-23.49723,31.595942,horse,clean
49.792664,-15.5349655,airplane,clean
-23.477873,28.79358,horse,clean
62.065018,-10.397038,ship,clean
48.829735,-18.06807,airplane,clean
39.460693,-33.892395,airplane,clean
60.8948,2.3453717,ship,clean
-33.721336,20.170513,deer,clean
-26.705233,6.697811,dog,clean
25.751244,15.184015,truck,clean
-38.15151,37.023907,deer,clean
-65.74985,-0.2721642,cat,clean
-55.267532,-1.2487828,cat,clean
28.45451,38.889275,car,clean
63.135723,-0.6664787,ship,clean
-38.909966,-25.865833,monkey,clean
2.3461404,14.693786,horse,clean
-8.876267,25.501377,horse,clean
22.225576,28.997355,car,clean
-39.529892,-31.60743,monkey,clean
-7.454174,-45.160984,bird,clean
41.758183,5.0329375,truck,clean
-1.6893591,17.636137,horse,clean
46.63933,-0.89773524,airplane,clean
28.691906,15.709795,truck,clean
-53.070557,1.3049235,cat,clean
39.427628,-25.936579,airplane,clean
67.66689,1.1235833,ship,clean
-38.947834,-30.68704,monkey,clean
-10.307585,-42.263252,bird,clean
55.083385,3.8813787,ship,clean
24.208801,47.54323,car,clean
-18.93538,2.460714,deer,clean
32.92274,42.747738,car,clean
48.165268,-17.03244,airplane,clean
-25.637241,-3.287749,dog,clean
1.2062993,19.03793,horse,clean
44.971394,17.426868,truck,clean
33.90293,-17.954025,airplane,clean
-33.063766,34.723278,deer,clean
20.293709,40.649307,car,clean
-43.922386,-1.1844625,cat,clean
35.352283,3.7127502,truck,clean
-4.272564,28.824099,horse,clean
-20.55253,25.581491,horse,clean
-15.937742,-2.7153249,dog,clean
-50.547714,2.6588142,cat,clean
32.744457,35.651993,car,clean
36.402287,34.817265,car,clean
33.976448,38.874897,car,clean
-48.085506,8.600207,cat,clean
-32.526436,3.0255976,dog,clean
68.340576,-13.972852,ship,clean
-18.281008,6.437666,dog,clean
-49.28103,-10.393107,cat,clean
28.036482,14.573197,truck,clean
-33.636723,-41.395195,monkey,clean
-27.53775,20.967083,deer,clean
40.762455,-15.745426,airplane,clean
20.98092,27.18625,car,clean
21.717087,16.43305,truck,clean
29.037252,48.684322,car,clean
54.62751,-4.85027,ship,clean
-19.874361,41.971413,dog,clean
64.7276,-11.418473,ship,clean
-12.208256,28.682827,horse,clean
-6.7636943,29.506601,horse,clean
-40.34528,33.24888,deer,clean
-38.951447,2.8165946,dog,clean
-34.74183,2.1940603,dog,clean
4.1513414,17.338736,horse,clean
20.864304,40.548717,car,clean
-52.400303,-7.648395,cat,clean
24.514797,25.446993,car,clean
-3.5011337,-49.352364,bird,clean
-29.848106,-37.16068,monkey,clean
-4.248281,16.265175,horse,clean
-41.83619,35.79464,deer,clean
21.915321,40.349003,car,clean
-18.17405,-33.713245,bird,clean
-7.861216,29.4137,horse,clean
-63.846725,4.662649,cat,clean
67.6272,-11.149422,ship,clean
-7.212867,-42.770496,bird,clean
67.2851,-14.222459,ship,clean
-31.404034,33.356018,deer,clean
-38.577168,35.59349,deer,clean
-7.000786,-48.171852,bird,clean
28.913445,42.926113,car,clean
35.795227,-12.637028,airplane,clean
-50.45042,-24.440756,monkey,clean
-29.407312,31.850517,deer,clean
65.08894,-15.042808,ship,clean
0.86731625,15.9592705,horse,clean
1.1572832,9.177716,horse,clean
-27.57817,-5.3068,dog,clean
-10.18528,13.04489,dog,clean
-30.519312,22.25993,deer,clean
31.975758,38.09662,car,clean
-38.23119,21.390076,deer,clean
-14.168883,-31.655052,bird,clean
31.631063,20.54283,truck,clean
46.98329,15.985679,truck,clean
35.741848,-28.950228,airplane,clean
21.508186,43.216423,car,clean
-18.508738,-47.87208,monkey,clean
-49.771694,-24.298689,monkey,clean
-64.31838,0.6428328,cat,clean
15.661337,37.75959,car,clean
-59.717545,5.5846224,cat,clean
-13.270274,0.40371135,dog,clean
-5.531214,34.82027,dog,clean
31.35904,-21.47505,airplane,clean
-65.162605,3.7075675,cat,clean
-35.95598,22.152647,deer,clean
-8.513818,-41.578773,bird,clean
28.963366,37.55732,car,clean
-53.99784,8.60299,cat,clean
46.0298,18.271269,truck,clean
42.722977,-33.58017,airplane,clean
68.73904,2.13901,ship,clean
-11.585267,-45.66742,bird,clean
-7.335813,28.68636,horse,clean
51.641113,-3.7937806,ship,clean
37.25914,-24.83379,airplane,clean
36.265694,-35.763996,airplane,clean
-2.111667,-38.11048,bird,clean
-8.969332,-52.748623,bird,clean
50.83026,-11.549528,airplane,clean
-19.211773,20.81779,horse,clean
-33.93608,0.57477057,dog,clean
-34.413673,30.82058,deer,clean
18.08918,39.63652,car,clean
18.667662,47.79822,car,clean
38.955585,-29.599188,airplane,clean
-35.03436,-38.631252,monkey,clean
59.47313,-7.906323,ship,clean
31.289623,15.349051,truck,clean
-19.668732,16.324446,dog,clean
-66.60421,6.1508074,cat,clean
36.4789,-34.84689,airplane,clean
-39.176414,-24.096912,monkey,clean
42.051266,24.618841,truck,clean
-11.9989,-40.875607,bird,clean
47.814175,-17.84173,airplane,clean
-24.970373,21.029388,deer,clean
-33.202637,36.1265,deer,clean
-22.602045,-25.654978,bird,clean
-18.783373,27.823776,horse,clean
-40.125134,-32.691525,monkey,clean
27.927824,16.680408,truck,clean
32.6164,14.271986,truck,clean
51.76385,-20.382765,ship,clean
36.299908,41.536205,car,clean
-52.54604,-9.150689,cat,clean
33.838585,14.515076,truck,clean
-40.35389,19.75263,deer,clean
-34.141296,20.14142,deer,clean
39.540997,-23.96185,airplane,clean
44.964546,24.668814,truck,clean
38.108467,-25.968088,airplane,clean
-29.622217,-33.111835,monkey,clean
-65.78012,7.4529495,cat,clean
38.270794,2.2572951,truck,clean
-31.380455,27.323236,deer,clean
2.09762,-50.29378,bird,clean
56.041756,-0.036003467,ship,clean
-14.5410185,17.627022,horse,clean
-41.77511,-27.299767,monkey,clean
-7.1732426,26.174723,horse,clean
48.414448,-0.07240978,truck,clean
5.435861,13.022977,horse,clean
-50.64583,11.516434,cat,clean
68.98881,-13.087356,ship,clean
69.19418,2.5052211,ship,clean
-3.0353618,-40.864307,bird,clean
-34.707367,-41.007725,monkey,clean
47.00192,23.408665,truck,clean
-56.27334,5.1704555,cat,clean
-5.839657,34.365376,dog,clean
-17.128508,0.17163807,dog,clean
-55.68832,-6.6690993,cat,clean
-38.237835,13.014298,cat,clean
31.823145,12.362619,truck,clean
-21.071505,-21.550526,bird,clean
-49.2017,-23.9088,monkey,clean
-44.94136,10.309186,cat,clean
5.308734,7.659429,car,clean
-16.540304,-40.817024,bird,clean
-19.948755,-11.246715,dog,clean
-24.660595,4.1071777,dog,clean
-43.66463,-27.45127,monkey,clean
-8.015492,-31.338427,bird,clean
-41.291607,-15.6336355,monkey,clean
-59.116688,2.967707,cat,clean
33.06141,-28.071663,airplane,clean
-1.8575914,15.547237,horse,clean
59.6197,0.7251634,ship,clean
-64.5203,2.505009,cat,clean
-27.555079,-1.6583469,dog,clean
41.216,-2.2071893,airplane,clean
37.089832,-19.826027,airplane,clean
-31.952183,36.13438,deer,clean
42.844727,-29.992601,airplane,clean
34.030922,37.368404,car,clean
-15.496368,22.074694,horse,clean
-39.379707,-32.94783,monkey,clean
41.13366,19.467047,truck,clean
-26.655994,-6.728688,dog,clean
48.55373,-10.43409,ship,clean
-43.512127,-33.788876,monkey,clean
44.86311,13.811398,truck,clean
-35.89678,-41.035652,monkey,clean
32.025635,9.5998,truck,clean
-7.684075,27.781788,horse,clean
34.546497,-33.77336,airplane,clean
57.132515,-1.4587922,ship,clean
8.176299,16.744364,horse,clean
-21.761711,5.2446594,dog,clean
-56.22923,16.609787,dog,clean
-9.697674,-47.582054,bird,clean
-40.533897,29.645878,deer,clean
-36.72776,30.221127,deer,clean
38.682934,-32.841778,airplane,clean
-38.9511,-37.653103,monkey,clean
-61.838295,6.8915353,cat,clean
45.065582,19.619078,truck,clean
-20.761633,28.841942,horse,clean
-34.568825,25.136742,deer,clean
-49.646946,-23.475872,monkey,clean
45.847885,3.25725,truck,clean
60.734043,4.7806644,ship,clean
34.406338,9.958326,truck,clean
34.267677,13.353825,truck,clean
-23.863108,-33.39764,bird,clean
62.65611,-13.373778,ship,clean
30.3066,39.568295,car,clean
-32.421413,19.209314,deer,clean
63.179516,-4.1295185,ship,clean
24.078518,39.995342,car,clean
4.0326133,10.470523,horse,clean
35.647316,-32.894375,airplane,grayscale
-8.40033,-0.5046561,dog,grayscale
-39.57557,-21.640018,monkey,grayscale
-3.1948626,-32.5745,bird,grayscale
41.258873,12.470844,truck,grayscale
66.17313,-3.4017348,ship,grayscale
-26.859695,43.797832,deer,grayscale
-51.325535,9.353095,cat,grayscale
-36.34465,-15.801938,monkey,grayscale
0.57676077,-50.7128,bird,grayscale
20.978458,34.810917,car,grayscale
-0.8076407,-49.34336,bird,grayscale
-26.312815,0.15467641,dog,grayscale
-6.237576,-44.19022,bird,grayscale
-55.859333,6.68997,cat,grayscale
45.68883,-15.671454,airplane,grayscale
-5.3447714,-41.257683,bird,grayscale
30.71181,17.942656,truck,grayscale
54.410618,-1.2512654,ship,grayscale
-2.8095205,21.456083,horse,grayscale
-17.873837,-27.738514,bird,grayscale
-9.442669,21.730799,horse,grayscale
37.32233,-11.202991,airplane,grayscale
42.12109,16.681816,truck,grayscale
-46.280376,-34.823784,monkey,grayscale
67.95405,2.2951436,ship,grayscale
63.108414,-7.308019,ship,grayscale
-26.068642,23.77126,deer,grayscale
-32.05053,24.32108,deer,grayscale
57.818115,-8.641803,ship,grayscale
-29.613855,7.123583,dog,grayscale
63.09517,3.2887068,ship,grayscale
-34.938183,28.190128,deer,grayscale
-14.453511,5.6085453,dog,grayscale
43.554295,21.07152,truck,grayscale
49.225338,-5.679753,ship,grayscale
-23.152187,12.600388,dog,grayscale
-42.089947,-19.405073,monkey,grayscale
-51.071804,-2.6509454,cat,grayscale
-35.904316,-8.236716,monkey,grayscale
27.175755,21.417168,truck,grayscale
39.71631,-27.83603,airplane,grayscale
-12.525289,-37.362446,bird,grayscale
3.4858887,22.725542,horse,grayscale
-18.047373,10.624847,dog,grayscale
37.301388,-34.67799,airplane,grayscale
40.036293,23.220547,truck,grayscale
-3.1829963,21.442776,horse,grayscale
-37.020344,34.67707,deer,grayscale
31.647005,42.228947,car,grayscale
48.945267,-7.368114,airplane,grayscale
-38.595657,-23.225424,monkey,grayscale
-7.68231,-38.22032,bird,grayscale
22.560452,41.35796,car,grayscale
37.523716,-32.4067,airplane,grayscale
-44.468616,-24.69608,monkey,grayscale
18.87258,36.545197,car,grayscale
-36.737225,-34.705296,monkey,grayscale
-4.587276,-44.86662,bird,grayscale
16.82648,48.645496,car,grayscale
26.62907,22.08013,car,grayscale
-46.431667,5.818601,cat,grayscale
-29.30537,27.661293,deer,grayscale
-31.441515,24.021992,deer,grayscale
-4.329233,-23.556652,monkey,grayscale
-5.31378,33.391575,dog,grayscale
-50.160324,-25.524635,monkey,grayscale
-4.0134945,-41.400337,bird,grayscale
-6.915419,-35.21212,bird,grayscale
-17.752096,-9.964858,dog,grayscale
18.622725,43.402855,car,grayscale
-20.842375,0.12149225,cat,grayscale
-32.882122,-28.265903,monkey,grayscale
-9.505999,5.478442,dog,grayscale
-62.450108,-0.6905565,cat,grayscale
39.367233,20.740707,truck,grayscale
28.567167,45.45598,car,grayscale
-40.97263,-24.243242,monkey,grayscale
-49.765514,3.7056694,cat,grayscale
26.655401,9.440559,truck,grayscale
-51.08579,13.201031,cat,grayscale
-29.236612,26.021297,deer,grayscale
-27.880928,25.017597,deer,grayscale
45.79435,-8.177532,ship,grayscale
-35.02931,-8.540189,cat,grayscale
-8.865178,-36.16949,bird,grayscale
-9.8105755,10.490545,dog,grayscale
-7.216241,-40.753624,bird,grayscale
46.75482,-23.66149,airplane,grayscale
46.56761,-31.51075,airplane,grayscale
-36.865135,-31.76203,monkey,grayscale
45.26943,-16.226833,airplane,grayscale
-32.26162,-40.39362,monkey,grayscale
-7.7349772,-40.196262,bird,grayscale
-9.483544,-39.457054,bird,grayscale
-53.980824,0.21422036,cat,grayscale
-56.514618,-5.629204,cat,grayscale
30.58637,42.546154,car,grayscale
29.611704,48.847614,car,grayscale
57.436394,-0.22470626,ship,grayscale
-30.193787,-12.266908,cat,grayscale
41.081207,-28.609602,airplane,grayscale
-34.01504,-9.268483,deer,grayscale
31.096388,27.438179,car,grayscale
69.25114,-6.9733033,ship,grayscale
-50.608334,13.476988,cat,grayscale
-39.078934,-10.953526,monkey,grayscale
-2.2533958,22.106136,horse,grayscale
-16.694126,-28.062931,bird,grayscale
25.23596,21.725515,truck,grayscale
-34.368,33.177914,deer,grayscale
46.347065,22.761307,truck,grayscale
-18.417753,33.409626,horse,grayscale
-33.918262,27.519354,deer,grayscale
-23.755138,34.312084,horse,grayscale
66.20279,-9.267798,ship,grayscale
-15.782158,-48.386787,bird,grayscale
-34.430115,-42.948,monkey,grayscale
-26.500193,11.012996,dog,grayscale
