x,y,class,condition
-16.42227,24.824524,airplane,clean
23.01636,-5.21111,dog,clean
26.381666,23.632393,monkey,clean
3.7865293,39.95576,bird,clean
-42.0926,-9.694584,truck,clean
-51.999264,11.665401,ship,clean
44.021168,-38.094555,deer,clean
46.769775,-19.224249,cat,clean
23.920422,19.128206,monkey,clean
-6.676031,56.64152,bird,clean
-19.493902,-37.941257,car,clean
-4.825697,55.782227,bird,clean
23.108536,-0.4980413,dog,clean
5.2754607,48.1461,bird,clean
56.23735,-10.135994,cat,clean
-33.118294,10.901231,airplane,clean
11.828154,49.70654,bird,clean
-46.456947,-32.587753,truck,clean
-47.697952,15.393832,ship,clean
5.016991,-34.940422,horse,clean
5.949783,33.30164,bird,clean
12.908006,-34.839233,horse,clean
-23.80305,17.979254,airplane,clean
-53.64064,-14.836995,truck,clean
38.297077,29.276155,monkey,clean
-48.625538,26.716932,ship,clean
-52.69613,8.255155,ship,clean
39.046448,-32.92412,deer,clean
33.170677,-30.115677,deer,clean
-44.32442,11.449114,ship,clean
28.769705,-4.526601,dog,clean
-61.601677,9.099146,ship,clean
36.588497,-32.303833,deer,clean
19.454365,-10.903547,dog,clean
-52.4777,-13.353197,truck,clean
-55.545353,11.431185,ship,clean
30.316334,-9.905497,dog,clean
38.87607,33.944767,monkey,clean
50.53659,7.958491,cat,clean
36.3395,22.88049,monkey,clean
-43.937317,-32.06535,truck,clean
-20.40816,30.802437,airplane,clean
10.345808,42.69893,bird,clean
6.991882,-24.164719,horse,clean
23.653397,-10.98442,dog,clean
-23.454832,29.595121,airplane,clean
-45.79074,-8.839026,truck,clean
6.3399997,-32.273296,horse,clean
40.65228,-23.122147,deer,clean
-20.222103,-24.904242,car,clean
-42.786682,13.641677,airplane,clean
28.557388,20.164026,monkey,clean
-3.5569267,45.270443,bird,clean
-29.12172,-32.162014,car,clean
-25.661644,30.718948,airplane,clean
32.52872,26.887321,monkey,clean
-21.983072,-32.6243,car,clean
29.761074,33.062057,monkey,clean
-1.003297,54.533165,bird,clean
-18.279352,-34.757534,car,clean
-41.98719,-33.17673,car,clean
57.26856,8.686754,cat,clean
34.631687,-38.333374,deer,clean
35.378872,-32.425148,deer,clean
23.925943,24.171774,monkey,clean
14.4096775,-6.243071,dog,clean
36.839657,21.54811,monkey,clean
15.273185,46.28743,bird,clean
-5.4319353,48.2493,bird,clean
10.803057,13.8738575,dog,clean
-22.88186,-35.367294,car,clean
31.682032,-1.7133315,cat,clean
30.86519,30.684038,monkey,clean
35.71269,4.8174834,dog,clean
60.908386,0.29912233,cat,clean
-46.55555,-7.836762,truck,clean
-23.25337,-25.15519,car,clean
28.112047,21.327074,monkey,clean
44.460617,6.2794724,cat,clean
-46.519226,-18.90284,truck,clean
55.532112,-17.78625,cat,clean
33.421154,-39.461216,deer,clean
32.958206,-38.028526,deer,clean
-45.362553,19.017868,ship,clean
51.564823,-11.051241,cat,clean
1.835145,42.477295,bird,clean
18.873026,-16.98835,dog,clean
8.90748,55.690742,bird,clean
-24.835293,24.87264,airplane,clean
-28.672003,32.812244,airplane,clean
32.276424,35.381134,monkey,clean
-34.29576,12.958308,airplane,clean
25.24933,43.69223,monkey,clean
1.395141,44.88906,bird,clean
2.9698734,44.841377,bird,clean
51.582813,6.5936403,cat,clean
53.381924,-5.562162,cat,clean
-19.387814,-26.232586,car,clean
-24.04754,-23.127419,car,clean
-50.165604,8.823747,ship,clean
41.56863,-16.226505,cat,clean
-18.81259,32.373737,airplane,clean
33.90859,-23.298082,deer,clean
-36.881573,-30.38894,car,clean
-52.979694,5.7541294,ship,clean
55.717506,-18.315395,cat,clean
29.748505,10.4492445,monkey,clean
5.0866637,-33.044468,horse,clean
7.312257,39.94362,bird,clean
-43.150116,-21.882793,truck,clean
41.090645,-33.316505,deer,clean
-53.59482,-12.721966,truck,clean
17.634914,-35.89977,horse,clean
36.77887,-28.72094,deer,clean
28.632208,-25.822685,horse,clean
-53.191574,9.391265,ship,clean
0.92111105,58.217842,bird,clean
26.018826,44.42674,monkey,clean
32.07262,-10.723965,dog,clean
-56.617985,-12.350705,truck,clean
32.24839,32.184273,monkey,clean
55.975494,1.1294433,bird,clean
-0.5733369,43.854122,bird,clean
13.858989,-32.862267,horse,clean
38.532475,-26.132986,deer,clean
33.14082,-12.072902,dog,clean
-32.224316,11.977947,airplane,clean
-39.550262,-19.624805,truck,clean
-55.717293,10.035061,ship,clean
26.569508,-34.0132,deer,clean
-48.37678,-30.023329,truck,clean
48.47323,5.337018,cat,clean
32.80481,0.41880578,cat,clean
31.33711,-38.70472,deer,clean
-24.481472,-24.007395,car,clean
52.72483,-15.70844,cat,clean
11.368392,12.334949,dog,clean
44.077095,-31.337053,deer,clean
46.114883,-27.3866,deer,clean
2.5475996,1.9119241,dog,clean
26.147913,-3.8947546,dog,clean
41.36369,31.279781,monkey,clean
-30.966463,-18.956093,car,clean
-25.509855,-38.130066,car,clean
-26.978088,-27.55781,car,clean
55.569893,-6.1450253,cat,clean
-39.07105,11.670022,airplane,clean
-5.407426,56.176933,bird,clean
42.152718,-24.873016,deer,clean
-52.812344,25.555254,ship,clean
35.38261,-7.1517863,dog,clean
-41.62845,17.989363,ship,clean
8.588439,56.201824,bird,clean
-24.930151,-36.063152,car,clean
11.327931,11.465034,dog,clean
54.021065,7.8195057,cat,clean
26.559885,42.920967,monkey,clean
-60.050056,10.197986,ship,clean
-49.19575,-26.84811,truck,clean
3.9380982,-32.379272,horse,clean
-39.108166,-5.7766614,truck,clean
39.912704,27.800892,monkey,clean
32.422665,-32.416374,deer,clean
18.75099,-7.620227,dog,clean
-32.190517,-35.29822,car,clean
-55.44558,-12.435126,truck,clean
10.025644,12.668695,dog,clean
-40.84023,14.755553,airplane,clean
35.93749,21.40174,monkey,clean
47.277733,-30.753042,deer,clean
2.3746514,47.333416,bird,clean
-2.3895507,50.959824,bird,clean
1.7433525,53.548233,bird,clean
18.879244,-39.18542,horse,clean
16.479004,-15.985631,dog,clean
43.11437,-29.124102,deer,clean
33.557568,-38.67752,deer,clean
-54.049664,-11.587819,truck,clean
-54.899155,10.01617,ship,clean
25.078587,-39.766693,horse,clean
55.11793,-17.390663,cat,clean
-18.308586,22.220032,airplane,clean
39.860397,27.255861,monkey,clean
-24.555258,32.148376,airplane,clean
49.930244,-5.645439,cat,clean
-22.809353,31.122118,airplane,clean
32.3515,-38.117805,deer,clean
-24.28742,-30.262854,car,clean
-45.939144,-7.9604545,truck,clean
-51.000565,4.4855475,ship,clean
12.197507,14.120181,dog,clean
-61.614925,9.965588,ship,clean
-0.11862218,-24.554825,horse,clean
44.07928,3.965999,cat,clean
37.040382,5.402738,dog,clean
-41.86765,10.5887,ship,clean
1.1409504,-26.255241,horse,clean
-35.244137,-18.39302,deer,clean
31.497932,-11.326583,dog,clean
-23.890732,15.587809,airplane,clean
53.097355,6.8410378,cat,clean
-17.48603,30.650541,airplane,clean
-52.589672,13.541775,ship,clean
13.230072,-39.108803,horse,clean
-18.171041,-32.205868,car,clean
31.166168,-13.363452,dog,clean
32.383583,-39.509357,deer,clean
-50.929493,9.852584,ship,clean
-27.053165,26.981064,airplane,clean
7.788399,-25.10754,horse,clean
-28.265244,-22.143368,car,clean
28.887716,20.776438,monkey,clean
