config,kind,sketch_index,true,source_only_pred,method_pred
dan,negative,20,dog,dog,person
dan,negative,23,dog,dog,person
dan,negative,41,dog,dog,person
dan,negative,65,dog,dog,person
dan,positive,8,dog,elephant,dog
dan,positive,89,dog,elephant,dog
dan,positive,91,dog,elephant,dog
dan,positive,95,dog,elephant,dog
dann_discbn,negative,96,dog,dog,horse
dann_discbn,negative,107,dog,dog,horse
dann_discbn,negative,127,dog,dog,horse
dann_discbn,negative,137,dog,dog,horse
dann_discbn,positive,6,dog,giraffe,dog
dann_discbn,positive,11,dog,horse,dog
dann_discbn,positive,18,dog,elephant,dog
dann_discbn,positive,22,dog,person,dog
cdan_discbn,negative,20,dog,dog,person
cdan_discbn,negative,23,dog,dog,person
cdan_discbn,negative,41,dog,dog,person
cdan_discbn,negative,65,dog,dog,person
cdan_discbn,positive,80,dog,elephant,dog
cdan_discbn,positive,86,dog,elephant,dog
cdan_discbn,positive,87,dog,elephant,dog
cdan_discbn,positive,89,dog,elephant,dog
