config,method,kind,class,n_class,source_only_acc,method_acc,change,source_only_top_confusion,method_top_confusion
dan,DAN (λ=1),largest_improvement,dog,772,0.17357512953367876,0.47668393782383417,0.3031088082901554,elephant (305),person (176)
dan,DAN (λ=1),largest_degradation,person,160,0.80625,0.65625,-0.15000000000000002,giraffe (19),house (55)
dann_discbn,DANN (disc BN),largest_improvement,dog,772,0.17357512953367876,0.45984455958549225,0.2862694300518135,elephant (305),horse (184)
dann_discbn,DANN (disc BN),largest_degradation,elephant,740,0.9675675675675676,0.5756756756756757,-0.3918918918918919,giraffe (10),dog (162)
cdan_discbn,CDAN (disc BN),largest_improvement,dog,772,0.17357512953367876,0.5518134715025906,0.3782383419689119,elephant (305),person (171)
cdan_discbn,CDAN (disc BN),largest_degradation,giraffe,753,0.799468791500664,0.15139442231075698,-0.648074369189907,elephant (62),house (222)
dann_disclr10,DANN (disc lr×10),largest_improvement,house,80,0.7125,1.0,0.2875,elephant (9),dog (0)
dann_disclr10,DANN (disc lr×10),largest_degradation,elephant,740,0.9675675675675676,0.8608108108108108,-0.10675675675675678,giraffe (10),person (54)
cdan_disclr10,CDAN (disc lr×10),largest_improvement,horse,816,0.5686274509803921,0.9240196078431373,0.35539215686274517,giraffe (176),house (26)
cdan_disclr10,CDAN (disc lr×10),largest_degradation,elephant,740,0.9675675675675676,0.7608108108108108,-0.20675675675675675,giraffe (10),horse (104)
dann,DANN (as specified),largest_improvement,guitar,608,0.9029605263157895,0.8552631578947368,-0.047697368421052655,giraffe (36),person (61)
dann,DANN (as specified),largest_degradation,giraffe,753,0.799468791500664,0.2642762284196547,-0.5351925630810093,elephant (62),person (339)
cdan,CDAN (as specified),largest_improvement,dog,772,0.17357512953367876,0.9585492227979274,0.7849740932642486,elephant (305),person (19)
cdan,CDAN (as specified),largest_degradation,elephant,740,0.9675675675675676,0.11216216216216217,-0.8554054054054054,giraffe (10),dog (642)
dan_lambda0.1,DAN (λ=0.1),largest_improvement,dog,772,0.17357512953367876,0.6191709844559585,0.44559585492227977,elephant (305),person (122)
dan_lambda0.1,DAN (λ=0.1),largest_degradation,giraffe,753,0.799468791500664,0.6281540504648074,-0.17131474103585653,elephant (62),dog (97)
dan_lambda10,DAN (λ=10),largest_improvement,person,160,0.80625,1.0,0.19374999999999998,giraffe (19),dog (0)
dan_lambda10,DAN (λ=10),largest_degradation,elephant,740,0.9675675675675676,0.0,-0.9675675675675676,giraffe (10),person (740)
