config,kind,sketch_index,true,erm_pred,method_pred
dan_dg,negative,20,dog,dog,person
dan_dg,negative,772,elephant,elephant,person
dan_dg,negative,1512,giraffe,giraffe,person
dan_dg,negative,2265,guitar,guitar,person
dan_dg,negative,2874,horse,horse,person
dan_dg,negative,3689,house,house,person
dan_dg,positive,3773,person,giraffe,person
sam,negative,20,dog,dog,elephant
sam,negative,1061,elephant,elephant,person
sam,negative,1515,giraffe,giraffe,elephant
sam,negative,2265,guitar,guitar,elephant
sam,negative,2874,horse,horse,elephant
sam,negative,3689,house,house,elephant
sam,negative,3770,person,person,elephant
sam,positive,31,dog,person,dog
sam,positive,909,elephant,dog,elephant
sam,positive,1593,giraffe,person,giraffe
sam,positive,2408,guitar,giraffe,guitar
sam,positive,2941,horse,giraffe,horse
sam,positive,3695,house,giraffe,house
sam,positive,3790,person,giraffe,person
