config,method,class,n_target,target_acc,change_vs_source_only
source_only,Source-only,dog,772,0.17357512953367876,0.0
source_only,Source-only,elephant,740,0.9675675675675676,0.0
source_only,Source-only,giraffe,753,0.799468791500664,0.0
source_only,Source-only,guitar,608,0.9029605263157895,0.0
source_only,Source-only,horse,816,0.5686274509803921,0.0
source_only,Source-only,house,80,0.7125,0.0
source_only,Source-only,person,160,0.80625,0.0
dan,DAN (λ=1),dog,772,0.47668393782383417,0.3031088082901554
dan,DAN (λ=1),elephant,740,0.8351351351351352,-0.1324324324324324
dan,DAN (λ=1),giraffe,753,0.6719787516600265,-0.12749003984063745
dan,DAN (λ=1),guitar,608,0.8157894736842105,-0.08717105263157898
dan,DAN (λ=1),horse,816,0.7022058823529411,0.133578431372549
dan,DAN (λ=1),house,80,1.0,0.2875
dan,DAN (λ=1),person,160,0.65625,-0.15000000000000002
dann_discbn,DANN (disc BN),dog,772,0.45984455958549225,0.2862694300518135
dann_discbn,DANN (disc BN),elephant,740,0.5756756756756757,-0.3918918918918919
dann_discbn,DANN (disc BN),giraffe,753,0.4196547144754316,-0.37981407702523234
dann_discbn,DANN (disc BN),guitar,608,0.9819078947368421,0.07894736842105265
dann_discbn,DANN (disc BN),horse,816,0.8026960784313726,0.23406862745098045
dann_discbn,DANN (disc BN),house,80,0.9375,0.22499999999999998
dann_discbn,DANN (disc BN),person,160,0.85625,0.04999999999999993
cdan_discbn,CDAN (disc BN),dog,772,0.5518134715025906,0.3782383419689119
cdan_discbn,CDAN (disc BN),elephant,740,0.45,-0.5175675675675675
cdan_discbn,CDAN (disc BN),giraffe,753,0.15139442231075698,-0.648074369189907
cdan_discbn,CDAN (disc BN),guitar,608,0.8207236842105263,-0.08223684210526316
cdan_discbn,CDAN (disc BN),horse,816,0.6017156862745098,0.03308823529411764
cdan_discbn,CDAN (disc BN),house,80,1.0,0.2875
cdan_discbn,CDAN (disc BN),person,160,0.5875,-0.21875
dann_disclr10,DANN (disc lr×10),dog,772,0.45984455958549225,0.2862694300518135
dann_disclr10,DANN (disc lr×10),elephant,740,0.8608108108108108,-0.10675675675675678
dann_disclr10,DANN (disc lr×10),giraffe,753,0.7888446215139442,-0.010624169986719778
dann_disclr10,DANN (disc lr×10),guitar,608,0.9457236842105263,0.042763157894736836
dann_disclr10,DANN (disc lr×10),horse,816,0.48284313725490197,-0.08578431372549017
dann_disclr10,DANN (disc lr×10),house,80,1.0,0.2875
dann_disclr10,DANN (disc lr×10),person,160,0.99375,0.1875
cdan_disclr10,CDAN (disc lr×10),dog,772,0.45466321243523317,0.2810880829015544
cdan_disclr10,CDAN (disc lr×10),elephant,740,0.7608108108108108,-0.20675675675675675
cdan_disclr10,CDAN (disc lr×10),giraffe,753,0.7051792828685259,-0.09428950863213803
cdan_disclr10,CDAN (disc lr×10),guitar,608,0.9539473684210527,0.050986842105263164
cdan_disclr10,CDAN (disc lr×10),horse,816,0.9240196078431373,0.35539215686274517
cdan_disclr10,CDAN (disc lr×10),house,80,1.0,0.2875
cdan_disclr10,CDAN (disc lr×10),person,160,0.94375,0.13749999999999996
dann,DANN (as specified),dog,772,0.07642487046632124,-0.09715025906735753
dann,DANN (as specified),elephant,740,0.4648648648648649,-0.5027027027027027
dann,DANN (as specified),giraffe,753,0.2642762284196547,-0.5351925630810093
dann,DANN (as specified),guitar,608,0.8552631578947368,-0.047697368421052655
dann,DANN (as specified),horse,816,0.09558823529411764,-0.4730392156862745
dann,DANN (as specified),house,80,0.325,-0.3875
dann,DANN (as specified),person,160,0.475,-0.33125000000000004
cdan,CDAN (as specified),dog,772,0.9585492227979274,0.7849740932642486
cdan,CDAN (as specified),elephant,740,0.11216216216216217,-0.8554054054054054
cdan,CDAN (as specified),giraffe,753,0.33731739707835323,-0.46215139442231074
cdan,CDAN (as specified),guitar,608,0.8898026315789473,-0.013157894736842146
cdan,CDAN (as specified),horse,816,0.25980392156862747,-0.30882352941176466
cdan,CDAN (as specified),house,80,1.0,0.2875
cdan,CDAN (as specified),person,160,0.9375,0.13124999999999998
dan_lambda0.1,DAN (λ=0.1),dog,772,0.6191709844559585,0.44559585492227977
dan_lambda0.1,DAN (λ=0.1),elephant,740,0.8148648648648649,-0.1527027027027027
dan_lambda0.1,DAN (λ=0.1),giraffe,753,0.6281540504648074,-0.17131474103585653
dan_lambda0.1,DAN (λ=0.1),guitar,608,0.9391447368421053,0.03618421052631582
dan_lambda0.1,DAN (λ=0.1),horse,816,0.6127450980392157,0.044117647058823595
dan_lambda0.1,DAN (λ=0.1),house,80,1.0,0.2875
dan_lambda0.1,DAN (λ=0.1),person,160,0.75625,-0.050000000000000044
dan_lambda10,DAN (λ=10),dog,772,0.0,-0.17357512953367876
dan_lambda10,DAN (λ=10),elephant,740,0.0,-0.9675675675675676
dan_lambda10,DAN (λ=10),giraffe,753,0.0,-0.799468791500664
dan_lambda10,DAN (λ=10),guitar,608,0.0,-0.9029605263157895
dan_lambda10,DAN (λ=10),horse,816,0.0,-0.5686274509803921
dan_lambda10,DAN (λ=10),house,80,0.0,-0.7125
dan_lambda10,DAN (λ=10),person,160,1.0,0.19374999999999998
