config,true,pred,count
source_only,dog,dog,134
source_only,dog,elephant,305
source_only,dog,giraffe,163
source_only,dog,guitar,0
source_only,dog,horse,92
source_only,dog,house,0
source_only,dog,person,78
source_only,elephant,dog,3
source_only,elephant,elephant,716
source_only,elephant,giraffe,10
source_only,elephant,guitar,0
source_only,elephant,horse,1
source_only,elephant,house,0
source_only,elephant,person,10
source_only,giraffe,dog,3
source_only,giraffe,elephant,62
source_only,giraffe,giraffe,602
source_only,giraffe,guitar,10
source_only,giraffe,horse,53
source_only,giraffe,house,0
source_only,giraffe,person,23
source_only,guitar,dog,0
source_only,guitar,elephant,16
source_only,guitar,giraffe,36
source_only,guitar,guitar,549
source_only,guitar,horse,0
source_only,guitar,house,0
source_only,guitar,person,7
source_only,horse,dog,8
source_only,horse,elephant,145
source_only,horse,giraffe,176
source_only,horse,guitar,4
source_only,horse,horse,464
source_only,horse,house,0
source_only,horse,person,19
source_only,house,dog,0
source_only,house,elephant,9
source_only,house,giraffe,5
source_only,house,guitar,2
source_only,house,horse,0
source_only,house,house,57
source_only,house,person,7
source_only,person,dog,0
source_only,person,elephant,12
source_only,person,giraffe,19
source_only,person,guitar,0
source_only,person,horse,0
source_only,person,house,0
source_only,person,person,129
dan,dog,dog,368
dan,dog,elephant,79
dan,dog,giraffe,32
dan,dog,guitar,0
dan,dog,horse,53
dan,dog,house,64
dan,dog,person,176
dan,elephant,dog,7
dan,elephant,elephant,618
dan,elephant,giraffe,0
dan,elephant,guitar,0
dan,elephant,horse,6
dan,elephant,house,77
dan,elephant,person,32
dan,giraffe,dog,26
dan,giraffe,elephant,21
dan,giraffe,giraffe,506
dan,giraffe,guitar,1
dan,giraffe,horse,40
dan,giraffe,house,57
dan,giraffe,person,102
dan,guitar,dog,0
dan,guitar,elephant,29
dan,guitar,giraffe,10
dan,guitar,guitar,496
dan,guitar,horse,3
dan,guitar,house,47
dan,guitar,person,23
dan,horse,dog,37
dan,horse,elephant,36
dan,horse,giraffe,42
dan,horse,guitar,0
dan,horse,horse,573
dan,horse,house,90
dan,horse,person,38
dan,house,dog,0
dan,house,elephant,0
dan,house,giraffe,0
dan,house,guitar,0
dan,house,horse,0
dan,house,house,80
dan,house,person,0
dan,person,dog,0
