config,method,photo_acc,photo_macro_f1,art_painting_acc,art_painting_macro_f1,cartoon_acc,cartoon_macro_f1,mean_acc,mean_macro_f1,worst_acc,worst_macro_f1,target_acc,target_macro_f1,target_acc_change_vs_source_only,target_macro_f1_change_vs_source_only,source_minus_target_acc,domain_separability
source_only,Source-only,0.9550898203592816,0.9458793397516532,0.9073170731707316,0.904032435050978,0.9402985074626866,0.9451617517119996,0.9342351336642332,0.9316911755048768,0.9073170731707316,0.904032435050978,0.6747263934843472,0.671835858317271,0.0,0.0,0.259508740179886,0.9972527472527472
dan,DAN (λ=1),0.9760479041916168,0.9717743211212008,0.8975609756097561,0.8950992245583883,0.957356076759062,0.961647685007139,0.943654985520145,0.9428404102289094,0.8975609756097561,0.8950992245583883,0.6989055739373886,0.6372577795036477,0.02417918045304146,-0.03457807881362329,0.24474941158275643,0.8516483516483516
dann_discbn,DANN (disc BN),0.9610778443113772,0.9553026921742702,0.9341463414634148,0.933288758254826,0.9424307036247336,0.9442265938551112,0.945884963133175,0.944272681428069,0.9341463414634148,0.933288758254826,0.6518198014762026,0.6641690852450585,-0.0229065920081446,-0.007666773072212529,0.2940651616569725,1.0
cdan_discbn,CDAN (disc BN),0.9610778443113772,0.9546421287226906,0.9146341463414634,0.9162390550897188,0.9402985074626866,0.94645838659869,0.938670166038509,0.9391131901370332,0.9146341463414634,0.9162390550897188,0.5184525324510053,0.48656676687688255,-0.15627386103334184,-0.18526909144038844,0.42021763358750364,0.9972527472527472
dann_disclr10,DANN (disc lr×10),0.9730538922155688,0.9713803924832812,0.9341463414634148,0.9328100152013128,0.9360341151385928,0.9410885581140496,0.9477447829391922,0.9484263219328812,0.9341463414634148,0.9328100152013128,0.7111224230083991,0.6842740496417594,0.036396029524051965,0.012438191324488423,0.23662235993079306,0.989010989010989
cdan_disclr10,CDAN (disc lr×10),0.9820359281437124,0.9788158987369476,0.8975609756097561,0.899459081337325,0.9445628997867804,0.9502015562534866,0.9413866011800832,0.9428255121092532,0.8975609756097561,0.899459081337325,0.766098243827946,0.75566863695997,0.09137185034359885,0.083832778642699,0.17528835735213721,0.9903846153846154
dann,DANN (as specified),0.5748502994011976,0.4544703193268364,0.4292682926829268,0.3682276004233089,0.4904051172707889,0.5025642958129739,0.4981745697849711,0.4417540718543731,0.4292682926829268,0.3682276004233089,0.33138203105115804,0.3529027994820822,-0.3433443624331891,-0.3189330588351888,0.16679253873381306,0.9972527472527472
cdan,CDAN (as specified),0.9491017964071856,0.9414823291666066,0.8560975609756097,0.849179274456264,0.9168443496801706,0.9171426978410236,0.907347902354322,0.902601433821298,0.8560975609756097,0.849179274456264,0.5243064392975312,0.5755505661736018,-0.15041995418681597,-0.09628529214366921,0.38304146305679077,0.9972527472527472
dan_lambda0.1,DAN (λ=0.1),0.9760479041916168,0.970995385629532,0.8951219512195122,0.8976983750447776,0.9466950959488272,0.9507658283561984,0.9392883171199854,0.9398198630101694,0.8951219512195122,0.8976983750447776,0.7192669890557394,0.6632294315607805,0.04454059557139223,-0.008606426756490482,0.220021328064246,0.9642857142857144
dan_lambda10,DAN (λ=10),0.2574850299401197,0.0585034013605442,0.2195121951219512,0.0514285714285714,0.1727078891257995,0.042077922077922,0.2165683713959568,0.0506699649556792,0.1727078891257995,0.042077922077922,0.04072283023670145,0.011179820424134438,-0.6340035632476457,-0.6606560378931365,0.17584554115925535,0.6538461538461539
