config,method,class,n_sketch,sketch_acc,change_vs_erm
erm,ERM,dog,772,0.17357512953367876,0.0
erm,ERM,elephant,740,0.9675675675675676,0.0
erm,ERM,giraffe,753,0.799468791500664,0.0
erm,ERM,guitar,608,0.9029605263157895,0.0
erm,ERM,horse,816,0.5686274509803921,0.0
erm,ERM,house,80,0.7125,0.0
erm,ERM,person,160,0.80625,0.0
dan_dg,DAN-DG (λ=1),dog,772,0.0,-0.17357512953367876
dan_dg,DAN-DG (λ=1),elephant,740,0.0,-0.9675675675675676
dan_dg,DAN-DG (λ=1),giraffe,753,0.0,-0.799468791500664
dan_dg,DAN-DG (λ=1),guitar,608,0.0,-0.9029605263157895
dan_dg,DAN-DG (λ=1),horse,816,0.0,-0.5686274509803921
dan_dg,DAN-DG (λ=1),house,80,0.0,-0.7125
dan_dg,DAN-DG (λ=1),person,160,1.0,0.19374999999999998
sam,SAM (ρ=0.05),dog,772,0.2823834196891192,0.10880829015544041
sam,SAM (ρ=0.05),elephant,740,0.9932432432432432,0.025675675675675635
sam,SAM (ρ=0.05),giraffe,753,0.6666666666666666,-0.13280212483399734
sam,SAM (ρ=0.05),guitar,608,0.7138157894736842,-0.1891447368421053
sam,SAM (ρ=0.05),horse,816,0.4325980392156863,-0.13602941176470584
sam,SAM (ρ=0.05),house,80,0.7,-0.012500000000000067
sam,SAM (ρ=0.05),person,160,0.3875,-0.41875
dan_dg_lambda0.1,DAN-DG (λ=0.1),dog,772,0.4883419689119171,0.31476683937823835
dan_dg_lambda0.1,DAN-DG (λ=0.1),elephant,740,0.9472972972972973,-0.020270270270270285
dan_dg_lambda0.1,DAN-DG (λ=0.1),giraffe,753,0.6799468791500664,-0.11952191235059761
dan_dg_lambda0.1,DAN-DG (λ=0.1),guitar,608,0.7796052631578947,-0.1233552631578948
dan_dg_lambda0.1,DAN-DG (λ=0.1),horse,816,0.4019607843137255,-0.16666666666666663
dan_dg_lambda0.1,DAN-DG (λ=0.1),house,80,0.6,-0.11250000000000004
dan_dg_lambda0.1,DAN-DG (λ=0.1),person,160,0.6125,-0.19374999999999998
dan_dg_lambda10,DAN-DG (λ=10),dog,772,0.0,-0.17357512953367876
dan_dg_lambda10,DAN-DG (λ=10),elephant,740,0.0,-0.9675675675675676
dan_dg_lambda10,DAN-DG (λ=10),giraffe,753,0.0,-0.799468791500664
dan_dg_lambda10,DAN-DG (λ=10),guitar,608,0.0,-0.9029605263157895
dan_dg_lambda10,DAN-DG (λ=10),horse,816,0.0,-0.5686274509803921
dan_dg_lambda10,DAN-DG (λ=10),house,80,0.0,-0.7125
dan_dg_lambda10,DAN-DG (λ=10),person,160,1.0,0.19374999999999998
