group,index,unknown_class,predicted_cifar10_class,softmax_confidence,mls_unknownness,threshold,same_supercategory,unknown_supercategory,predicted_supercategory
near,562,bus,truck,0.9999624490737915,-11.920182228088379,-5.930164980888366,True,vehicle,vehicle
near,308,bus,truck,0.9999662637710571,-11.628348350524902,-5.930164980888366,True,vehicle,vehicle
near,410,bus,truck,0.9997624754905701,-11.455438613891602,-5.930164980888366,True,vehicle,vehicle
near,730,pickup_truck,automobile,0.999947190284729,-11.166261672973633,-5.930164980888366,True,vehicle,vehicle
near,321,bus,truck,0.9999518394470215,-11.156002044677734,-5.930164980888366,True,vehicle,vehicle
near,401,leopard,cat,0.9999134540557861,-11.093743324279785,-5.930164980888366,True,animal,animal
near,743,leopard,frog,0.9999382495880127,-11.068961143493652,-5.930164980888366,True,animal,animal
near,391,wolf,dog,0.9999485015869141,-11.052647590637207,-5.930164980888366,True,animal,animal
near,82,camel,horse,0.999858021736145,-10.94716739654541,-5.930164980888366,True,animal,animal
near,504,bus,truck,0.9998732805252075,-10.889867782592773,-5.930164980888366,True,vehicle,vehicle
far,512,chair,airplane,0.9999699592590332,-11.593704223632812,-5.930164980888366,False,object,vehicle
far,533,chair,airplane,0.9999524354934692,-11.295608520507812,-5.930164980888366,False,object,vehicle
far,243,chair,airplane,0.9998437166213989,-11.040332794189453,-5.930164980888366,False,object,vehicle
far,422,mushroom,cat,0.999846339225769,-10.97393798828125,-5.930164980888366,False,object,animal
far,689,mushroom,bird,0.999863862991333,-10.70053768157959,-5.930164980888366,False,object,animal
far,177,wardrobe,truck,0.9997574687004089,-10.596869468688965,-5.930164980888366,False,object,vehicle
far,237,wardrobe,truck,0.9996414184570312,-10.513885498046875,-5.930164980888366,False,object,vehicle
far,402,wardrobe,truck,0.9998204112052917,-10.433891296386719,-5.930164980888366,False,object,vehicle
far,241,clock,cat,0.9998539686203003,-10.331400871276855,-5.930164980888366,False,object,animal
far,768,bowl,ship,0.9998552799224854,-10.292234420776367,-5.930164980888366,False,object,vehicle
