config,model,score,group,unknown_class,n,acceptance_rate,rejection_rate,mean_unknownness,most_common_cifar10_prediction
vanilla,Vanilla,MLS,near,bus,100,0.88,0.12,-8.369362831115723,truck
vanilla,Vanilla,MLS,near,camel,100,0.59,0.41,-6.488461971282959,horse
vanilla,Vanilla,MLS,near,fox,100,0.73,0.27,-7.0675482749938965,deer
vanilla,Vanilla,MLS,near,leopard,100,0.61,0.39,-6.724153518676758,cat
vanilla,Vanilla,MLS,near,motorcycle,100,0.35,0.65,-5.484499454498291,automobile
vanilla,Vanilla,MLS,near,pickup_truck,100,0.93,0.07,-8.09753704071045,automobile
vanilla,Vanilla,MLS,near,tractor,100,0.61,0.39,-6.517708778381348,truck
vanilla,Vanilla,MLS,near,wolf,100,0.83,0.17,-7.801825046539307,cat
vanilla,Vanilla,MLS,far,bottle,100,0.41,0.59,-5.6829071044921875,cat
vanilla,Vanilla,MLS,far,bowl,100,0.5,0.5,-6.0719499588012695,cat
vanilla,Vanilla,MLS,far,chair,100,0.5,0.5,-5.8892083168029785,airplane
vanilla,Vanilla,MLS,far,clock,100,0.34,0.66,-5.599766731262207,cat
vanilla,Vanilla,MLS,far,keyboard,100,0.39,0.61,-5.510700702667236,cat
vanilla,Vanilla,MLS,far,mushroom,100,0.54,0.46,-6.148956298828125,bird
vanilla,Vanilla,MLS,far,sunflower,100,0.5,0.5,-5.750609874725342,bird
vanilla,Vanilla,MLS,far,wardrobe,100,0.69,0.31,-6.644564151763916,cat
gcsc,GCSC,MLS,near,bus,100,0.82,0.18,-8.216699600219727,truck
gcsc,GCSC,MLS,near,camel,100,0.55,0.45,-6.427371025085449,dog
gcsc,GCSC,MLS,near,fox,100,0.66,0.34,-6.842150688171387,cat
gcsc,GCSC,MLS,near,leopard,100,0.61,0.39,-6.598479747772217,cat
gcsc,GCSC,MLS,near,motorcycle,100,0.26,0.74,-5.100139617919922,automobile
gcsc,GCSC,MLS,near,pickup_truck,100,0.83,0.17,-8.130273818969727,automobile
gcsc,GCSC,MLS,near,tractor,100,0.51,0.49,-6.090456485748291,truck
gcsc,GCSC,MLS,near,wolf,100,0.76,0.24,-7.221587657928467,cat
gcsc,GCSC,MLS,far,bottle,100,0.22,0.78,-5.012719631195068,cat
gcsc,GCSC,MLS,far,bowl,100,0.39,0.61,-6.085701942443848,cat
gcsc,GCSC,MLS,far,chair,100,0.35,0.65,-5.6012115478515625,airplane
gcsc,GCSC,MLS,far,clock,100,0.35,0.65,-5.581762313842773,cat
gcsc,GCSC,MLS,far,keyboard,100,0.38,0.62,-5.862149715423584,cat
gcsc,GCSC,MLS,far,mushroom,100,0.46,0.54,-6.029119491577148,bird
gcsc,GCSC,MLS,far,sunflower,100,0.41,0.59,-5.768438339233398,dog
gcsc,GCSC,MLS,far,wardrobe,100,0.57,0.43,-6.681268692016602,cat
proser,PROSER,MLS,near,bus,100,0.85,0.15,-6.538414478302002,truck
proser,PROSER,MLS,near,camel,100,0.6,0.4,-4.967274188995361,horse
proser,PROSER,MLS,near,fox,100,0.68,0.32,-5.267770767211914,cat
proser,PROSER,MLS,near,leopard,100,0.7,0.3,-5.273104190826416,cat
proser,PROSER,MLS,near,motorcycle,100,0.42,0.58,-4.309973239898682,automobile
proser,PROSER,MLS,near,pickup_truck,100,0.88,0.12,-6.213374614715576,automobile
proser,PROSER,MLS,near,tractor,100,0.61,0.39,-5.1275129318237305,truck
proser,PROSER,MLS,near,wolf,100,0.84,0.16,-5.934710502624512,cat
proser,PROSER,MLS,far,bottle,100,0.54,0.46,-4.638385772705078,cat
proser,PROSER,MLS,far,bowl,100,0.54,0.46,-4.8787455558776855,cat
proser,PROSER,MLS,far,chair,100,0.56,0.44,-4.825229644775391,airplane
proser,PROSER,MLS,far,clock,100,0.45,0.55,-4.402225017547607,cat
proser,PROSER,MLS,far,keyboard,100,0.52,0.48,-4.495641708374023,cat
proser,PROSER,MLS,far,mushroom,100,0.62,0.38,-5.183722019195557,bird
proser,PROSER,MLS,far,sunflower,100,0.55,0.45,-4.683460712432861,bird
proser,PROSER,MLS,far,wardrobe,100,0.84,0.16,-5.853814601898193,cat
